,Adjusted Savings: Carbon Dioxide Damage
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,USD mn
Source,World Bank
Status,Active
Series ID,268441702
SR Code,SR5444103
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/01/1990
Last Obs. Date,12/27/2021
Last Update Time,19/12/2023
Series remarks,"Cost of damage due to carbon dioxide emissions from fossil fuel use and the manufacture of cement, estimated to be US$40 per ton of CO2 (the unit damage in 2017 US dollars for CO2 emitted in 2020) times the number of tons of CO2 emitted.;World Bank staff estimates based on sources and methods described in the World Bank's The Changing Wealth of Nations.;;"
Suggestions,
Mean,7.512237900125779
Variance,34.175314854342695
Standard Deviation,5.845965690486277
Skewness,0.8770491442692123
Kurtosis,-0.40411583817369534
Coefficient Variation,0.7781923001118477
Min,0.8779543418867924
Max,21.227391911153845
Median,6.255040609615384
Sum,
Subtract,
No. of Obs,1670
01/01/1990,0.87795434188679
01/08/1990,0.87795434188679
01/15/1990,0.87795434188679
01/22/1990,0.87795434188679
01/29/1990,0.87795434188679
02/05/1990,0.87795434188679
02/12/1990,0.87795434188679
02/19/1990,0.87795434188679
02/26/1990,0.87795434188679
03/05/1990,0.87795434188679
03/12/1990,0.87795434188679
03/19/1990,0.87795434188679
03/26/1990,0.87795434188679
04/02/1990,0.87795434188679
04/09/1990,0.87795434188679
04/16/1990,0.87795434188679
04/23/1990,0.87795434188679
04/30/1990,0.87795434188679
05/07/1990,0.87795434188679
05/14/1990,0.87795434188679
05/21/1990,0.87795434188679
05/28/1990,0.87795434188679
06/04/1990,0.87795434188679
06/11/1990,0.87795434188679
06/18/1990,0.87795434188679
06/25/1990,0.87795434188679
07/02/1990,0.87795434188679
07/09/1990,0.87795434188679
07/16/1990,0.87795434188679
07/23/1990,0.87795434188679
07/30/1990,0.87795434188679
08/06/1990,0.87795434188679
08/13/1990,0.87795434188679
08/20/1990,0.87795434188679
08/27/1990,0.87795434188679
09/03/1990,0.87795434188679
09/10/1990,0.87795434188679
