,Diesel End User Price
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,USD/l
Source,Organisation for Economic Co-operation and Development
Status,Active
Series ID,496710137
SR Code,SR174158057
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/01/1990
Last Obs. Date,12/27/2021
Last Update Time,31/01/2024
Series remarks,
Suggestions,
Mean,0.03811377245508982
Variance,0.0000856905059023934
Standard Deviation,0.009256916652017205
Skewness,0.2919590936354149
Kurtosis,-0.4914538275474065
Coefficient Variation,0.24287589644726995
Min,0.02153846153846154
Max,0.05730769230769231
Median,0.04576923076923077
Sum,
Subtract,
No. of Obs,1670
01/01/1990,0.04018867924528
01/08/1990,0.04018867924528
01/15/1990,0.04018867924528
01/22/1990,0.04018867924528
01/29/1990,0.04018867924528
02/05/1990,0.04018867924528
02/12/1990,0.04018867924528
02/19/1990,0.04018867924528
02/26/1990,0.04018867924528
03/05/1990,0.04018867924528
03/12/1990,0.04018867924528
03/19/1990,0.04018867924528
03/26/1990,0.04018867924528
04/02/1990,0.04018867924528
04/09/1990,0.04018867924528
04/16/1990,0.04018867924528
04/23/1990,0.04018867924528
04/30/1990,0.04018867924528
05/07/1990,0.04018867924528
05/14/1990,0.04018867924528
05/21/1990,0.04018867924528
05/28/1990,0.04018867924528
06/04/1990,0.04018867924528
06/11/1990,0.04018867924528
06/18/1990,0.04018867924528
06/25/1990,0.04018867924528
07/02/1990,0.04018867924528
07/09/1990,0.04018867924528
07/16/1990,0.04018867924528
07/23/1990,0.04018867924528
07/30/1990,0.04018867924528
08/06/1990,0.04018867924528
08/13/1990,0.04018867924528
08/20/1990,0.04018867924528
08/27/1990,0.04018867924528
09/03/1990,0.04018867924528
09/10/1990,0.04018867924528
09/17/1990,0.04018867924528
09/24/1990,0.04018867924528
10/01/1990,0.04018867924528
10/08/1990,0.04018867924528
10/15/1990,0.04018867924528
10/22/1990,0.04018867924528
10/29/1990,0.04018867924528
11/05/1990,0.04018867924528
11/12/1990,0.04018867924528
