,Foreign Direct Investment: % of Nominal GDP: Annual: Sri Lanka
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,%
Source,CEIC Data
Status,Active
Series ID,374744567
SR Code,SR197229247
Trade Code,
Mnemonic,LK.BOPFADIL.FLRT.A
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/07/2002
Last Obs. Date,12/25/2023
Last Update Time,29/03/2024
Series remarks,1. CEIC calculates annual Foreign Direct Investment as % of Nominal GDP from annual Foreign Direct Investment and annual Nominal GDP.
2. The Central Bank of Sri Lanka provides Foreign Direct Investment in USD based on BPM6. The Department of Census and Statistics provides Nominal GDP in local currency based on SNA 2008. Federal Reserve Board average market exchange rate is used for currency conversions.
3. Foreign Direct Investment as % of Nominal GDP prior to 2012 is calculated from Foreign Direct Investment based on BPM5 and Nominal GDP based on SNA 1993.
Suggestions,
Mean,0.02171400451612903
Variance,0.000042205991374069195
Standard Deviation,0.006496613839075645
Skewness,0.28288831120010915
Kurtosis,-0.9636367932074283
Coefficient Variation,0.29919003812723716
Min,0.009885086730769231
Max,0.03263106615384615
Median,0.02517541528301887
Sum,
Subtract,
No. of Obs,1147
01/07/2002,0.02037261
01/14/2002,0.02037261
01/21/2002,0.02037261
01/28/2002,0.02037261
02/04/2002,0.02037261
02/11/2002,0.02037261
02/18/2002,0.02037261
02/25/2002,0.02037261
03/04/2002,0.02037261
03/11/2002,0.02037261
03/18/2002,0.02037261
03/25/2002,0.02037261
04/01/2002,0.02037261
04/08/2002,0.02037261
04/15/2002,0.02037261
04/22/2002,0.02037261
04/29/2002,0.02037261
05/06/2002,0.02037261
05/13/2002,0.02037261
05/20/2002,0.02037261
05/27/2002,0.02037261
06/03/2002,0.02037261
06/10/2002,0.02037261
06/17/2002,0.02037261
06/24/2002,0.02037261
07/01/2002,0.02037261
07/08/2002,0.02037261
07/15/2002,0.02037261
07/22/2002,0.02037261
07/29/2002,0.02037261
08/05/2002,0.02037261
08/12/2002,0.02037261
08/19/2002,0.02037261
