,GDP: Goods & Services: Imports
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,LKR mn
Source,Department of Census and Statistics
Status,Active
Series ID,495106047 (LAZAAABBAAABCQ)
SR Code,SR173549797
Trade Code,
Mnemonic,
Function Description,SPLICE(GDP: Goods &amp; Services: Imports {375580007} [SPLICE(GDP: Goods &amp; Services: Imports {495106047}; No; Average ratio; Range; 2015-03-01; 2015-03-01)]; No; Average ratio; Range; 2015-03-01; 2015-03-01) > DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/04/2010
Last Obs. Date,09/30/2024
Last Update Time,31/12/2024
Series remarks,
Suggestions,
Mean,73549.58534077567
Variance,676548323.6174045
Standard Deviation,26010.542547540303
Skewness,0.6242244815369514
Kurtosis,-0.4801351062655477
Coefficient Variation,0.35364635200900496
Min,31635.44236825756
Max,128081.42179788715
Median,70048.32157048384
Sum,
Subtract,
No. of Obs,770
01/04/2010,32132.095280305
01/11/2010,32132.095280305
01/18/2010,32132.095280305
01/25/2010,32132.095280305
02/01/2010,32132.095280305
02/08/2010,32132.095280305
02/15/2010,32132.095280305
02/22/2010,32132.095280305
03/01/2010,32132.095280305
03/08/2010,32132.095280305
03/15/2010,32132.095280305
03/22/2010,32132.095280305
03/29/2010,32132.095280305
04/05/2010,31635.4423682576
04/12/2010,31635.4423682576
04/19/2010,31635.4423682576
04/26/2010,31635.4423682576
05/03/2010,31635.4423682576
05/10/2010,31635.4423682576
05/17/2010,31635.4423682576
05/24/2010,31635.4423682576
05/31/2010,31635.4423682576
06/07/2010,31635.4423682576
06/14/2010,31635.4423682576
06/21/2010,31635.4423682576
06/28/2010,31635.4423682576
07/05/2010,31879.7134392052
07/12/2010,31879.7134392052
07/19/2010,31879.7134392052
07/26/2010,31879.7134392052
08/02/2010,31879.7134392052
08/09/2010,31879.7134392052
08/16/2010,31879.7134392052
08/23/2010,31879.7134392052
08/30/2010,31879.7134392052
09/06/2010,31879.7134392052
09/13/2010,31879.7134392052
09/20/2010,31879.7134392052
