,GDP: Gross National Income
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,LKR mn
Source,Department of Census and Statistics
Status,Active
Series ID,505766057 (LAZAAABBAAABGF)
SR Code,SR201148097
Trade Code,
Mnemonic,
Function Description,SPLICE(GDP: Gross National Income {368704357} [SPLICE(GDP: Gross National Income {505766057}; No; Average ratio; Range; 2015-03-01; 2015-03-01)]; No; Average ratio; Range; 2015-03-01; 2015-03-01) > DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/04/2010
Last Obs. Date,09/30/2024
Last Update Time,17/12/2024
Series remarks,
Suggestions,
Mean,282952.44400477887
Variance,14855940743.513084
Standard Deviation,121884.94879809026
Skewness,0.9344360838705482
Kurtosis,-0.024069388919615964
Coefficient Variation,0.43076125115933517
Min,115148.6183682216
Max,595908.7692307692
Median,250893.23076923078
Sum,
Subtract,
No. of Obs,770
01/04/2010,115148.618368222
01/11/2010,115148.618368222
01/18/2010,115148.618368222
01/25/2010,115148.618368222
02/01/2010,115148.618368222
02/08/2010,115148.618368222
02/15/2010,115148.618368222
02/22/2010,115148.618368222
03/01/2010,115148.618368222
03/08/2010,115148.618368222
03/15/2010,115148.618368222
03/22/2010,115148.618368222
03/29/2010,115148.618368222
04/05/2010,125291.855018018
04/12/2010,125291.855018018
04/19/2010,125291.855018018
04/26/2010,125291.855018018
05/03/2010,125291.855018018
05/10/2010,125291.855018018
05/17/2010,125291.855018018
05/24/2010,125291.855018018
05/31/2010,125291.855018018
06/07/2010,125291.855018018
06/14/2010,125291.855018018
06/21/2010,125291.855018018
06/28/2010,125291.855018018
07/05/2010,133085.794196512
07/12/2010,133085.794196512
07/19/2010,133085.794196512
07/26/2010,133085.794196512
08/02/2010,133085.794196512
08/09/2010,133085.794196512
08/16/2010,133085.794196512
08/23/2010,133085.794196512
08/30/2010,133085.794196512
09/06/2010,133085.794196512
09/13/2010,133085.794196512
09/20/2010,133085.794196512
09/27/2010,133085.794196512
10/04/2010,149208.446521048
10/11/2010,149208.446521048
