,Government Debt
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,LKR mn
Source,Central Bank of Sri Lanka
Status,Active
Series ID,375564947 (LFSDACIAAAAABA)
SR Code,SR97857427
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/06/2014
Last Obs. Date,09/30/2024
Last Update Time,31/12/2024
Series remarks,
Suggestions,
Mean,1165085.9766679662
Variance,312538631119.7575
Standard Deviation,559051.546031095
Skewness,0.775298416438752
Kurtosis,-0.90970761776682
Coefficient Variation,0.47983715985487063
Min,552427.4936776669
Max,2207380.6582953846
Median,973577.3092613154
Sum,
Subtract,
No. of Obs,561
01/06/2014,552427.493677667
01/13/2014,552427.493677667
01/20/2014,552427.493677667
01/27/2014,552427.493677667
02/03/2014,552427.493677667
02/10/2014,552427.493677667
02/17/2014,552427.493677667
02/24/2014,552427.493677667
03/03/2014,552427.493677667
03/10/2014,552427.493677667
03/17/2014,552427.493677667
03/24/2014,552427.493677667
03/31/2014,552427.493677667
04/07/2014,564713.963046316
04/14/2014,564713.963046316
04/21/2014,564713.963046316
04/28/2014,564713.963046316
05/05/2014,564713.963046316
05/12/2014,564713.963046316
05/19/2014,564713.963046316
05/26/2014,564713.963046316
06/02/2014,564713.963046316
06/09/2014,564713.963046316
06/16/2014,564713.963046316
06/23/2014,564713.963046316
06/30/2014,564713.963046316
07/07/2014,566834.782349696
07/14/2014,566834.782349696
07/21/2014,566834.782349696
07/28/2014,566834.782349696
08/04/2014,566834.782349696
08/11/2014,566834.782349696
08/18/2014,566834.782349696
08/25/2014,566834.782349696
09/01/2014,566834.782349696
09/08/2014,566834.782349696
09/15/2014,566834.782349696
09/22/2014,566834.782349696
09/29/2014,566834.782349696
10/06/2014,575912.436103422
10/13/2014,575912.436103422
10/20/2014,575912.436103422
10/27/2014,575912.436103422
11/03/2014,575912.436103422
11/10/2014,575912.436103422
11/17/2014,575912.436103422
11/24/2014,575912.436103422
12/01/2014,575912.436103422
12/08/2014,575912.436103422
