,HIES: Household Income per Month
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,LKR
Source,Department of Census and Statistics
Status,Active
Series ID,237796302 (LHAABD)
SR Code,SR6739520
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,07/07/1980
Last Obs. Date,06/24/2019
Last Update Time,08/11/2021
Series remarks,
Suggestions,
Mean,511.40488656195345
Variance,224226.3667419663
Standard Deviation,473.5254657797892
Skewness,0.7429873407183416
Kurtosis,-0.7121404243388629
Coefficient Variation,0.9259306632034393
Min,16.942307692307693
Max,1469.5
Median,
Sum,
Subtract,
No. of Obs,573
07/07/1980,16.9423076923077
07/14/1980,16.9423076923077
07/21/1980,16.9423076923077
07/28/1980,16.9423076923077
08/04/1980,16.9423076923077
08/11/1980,16.9423076923077
08/18/1980,16.9423076923077
08/25/1980,16.9423076923077
09/01/1980,16.9423076923077
09/08/1980,16.9423076923077
09/15/1980,16.9423076923077
09/22/1980,16.9423076923077
09/29/1980,16.9423076923077
10/06/1980,16.9423076923077
10/13/1980,16.9423076923077
10/20/1980,16.9423076923077
10/27/1980,16.9423076923077
11/03/1980,16.9423076923077
11/10/1980,16.9423076923077
11/17/1980,16.9423076923077
11/24/1980,16.9423076923077
12/01/1980,16.9423076923077
12/08/1980,16.9423076923077
12/15/1980,16.9423076923077
12/22/1980,16.9423076923077
12/29/1980,16.9423076923077
01/05/1981,16.9423076923077
01/12/1981,16.9423076923077
01/19/1981,16.9423076923077
01/26/1981,16.9423076923077
02/02/1981,16.9423076923077
02/09/1981,16.9423076923077
02/16/1981,16.9423076923077
02/23/1981,16.9423076923077
03/02/1981,16.9423076923077
03/09/1981,16.9423076923077
03/16/1981,16.9423076923077
03/23/1981,16.9423076923077
03/30/1981,16.9423076923077
04/06/1981,16.9423076923077
04/13/1981,16.9423076923077
04/20/1981,16.9423076923077
04/27/1981,16.9423076923077
05/04/1981,16.9423076923077
05/11/1981,16.9423076923077
05/18/1981,16.9423076923077
