,Motor Vehicle New Registration
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,Unit
Source,Central Bank of Sri Lanka
Status,Active
Series ID,31008901 (LTAC)
SR Code,SR667820
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/03/1983
Last Obs. Date,10/28/2024
Last Update Time,29/11/2024
Series remarks,
Suggestions,
Mean,3695.665139716
Variance,11147699.56029657
Standard Deviation,3338.8170899731194
Skewness,1.1787084551320621
Kurtosis,0.5688523885096042
Coefficient Variation,0.9034414547173224
Min,0
Max,15956
Median,3214.8
Sum,
Subtract,
No. of Obs,2183
01/03/1983,685.4
01/10/1983,685.4
01/17/1983,685.4
01/24/1983,685.4
01/31/1983,685.4
02/07/1983,943.25
02/14/1983,943.25
02/21/1983,943.25
02/28/1983,943.25
03/07/1983,966.25
03/14/1983,966.25
03/21/1983,966.25
03/28/1983,966.25
04/04/1983,616
04/11/1983,616
04/18/1983,616
04/25/1983,616
05/02/1983,528.6
05/09/1983,528.6
05/16/1983,528.6
05/23/1983,528.6
05/30/1983,528.6
06/06/1983,846.25
06/13/1983,846.25
06/20/1983,846.25
06/27/1983,846.25
07/04/1983,616
07/11/1983,616
07/18/1983,616
07/25/1983,616
08/01/1983,534
08/08/1983,534
08/15/1983,534
08/22/1983,534
08/29/1983,534
09/05/1983,768
09/12/1983,768
09/19/1983,768
09/26/1983,768
10/03/1983,687.2
10/10/1983,687.2
10/17/1983,687.2
10/24/1983,687.2
10/31/1983,687.2
11/07/1983,925
11/14/1983,925
11/21/1983,925
11/28/1983,925
12/05/1983,569.25
12/12/1983,569.25
12/19/1983,569.25
12/26/1983,569.25
01/02/1984,695.2
01/09/1984,695.2
01/16/1984,695.2
01/23/1984,695.2
01/30/1984,695.2
02/06/1984,729.5
02/13/1984,729.5
02/20/1984,729.5
02/27/1984,729.5
03/05/1984,893.25
03/12/1984,893.25
03/19/1984,893.25
03/26/1984,893.25
04/02/1984,522.6
04/09/1984,522.6
04/16/1984,522.6
