,Motor Vehicle Sales: Annual: Sri Lanka
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,Unit
Source,CEIC Data
Status,Active
Series ID,380490027
SR Code,SR196965917
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/03/2005
Last Obs. Date,12/30/2019
Last Update Time,13/03/2020
Series remarks,The International Organization of Motor Vehicle Manufacturers provides annual Motor Vehicles Sales.
Suggestions,
Mean,204.77905491698613
Variance,23023.838108639775
Standard Deviation,151.7360804444341
Skewness,1.7778127332220466
Kurtosis,3.198694251051666
Coefficient Variation,0.7409746104451223
Min,57.69230769230769
Max,671.1538461538462
Median,179.24528301886792
Sum,
Subtract,
No. of Obs,783
01/03/2005,76.9230769230769
01/10/2005,76.9230769230769
01/17/2005,76.9230769230769
01/24/2005,76.9230769230769
01/31/2005,76.9230769230769
02/07/2005,76.9230769230769
02/14/2005,76.9230769230769
02/21/2005,76.9230769230769
02/28/2005,76.9230769230769
03/07/2005,76.9230769230769
03/14/2005,76.9230769230769
03/21/2005,76.9230769230769
03/28/2005,76.9230769230769
04/04/2005,76.9230769230769
04/11/2005,76.9230769230769
04/18/2005,76.9230769230769
04/25/2005,76.9230769230769
05/02/2005,76.9230769230769
05/09/2005,76.9230769230769
05/16/2005,76.9230769230769
05/23/2005,76.9230769230769
05/30/2005,76.9230769230769
06/06/2005,76.9230769230769
06/13/2005,76.9230769230769
06/20/2005,76.9230769230769
06/27/2005,76.9230769230769
07/04/2005,76.9230769230769
07/11/2005,76.9230769230769
07/18/2005,76.9230769230769
07/25/2005,76.9230769230769
08/01/2005,76.9230769230769
08/08/2005,76.9230769230769
08/15/2005,76.9230769230769
08/22/2005,76.9230769230769
08/29/2005,76.9230769230769
09/05/2005,76.9230769230769
09/12/2005,76.9230769230769
09/19/2005,76.9230769230769
09/26/2005,76.9230769230769
10/03/2005,76.9230769230769
10/10/2005,76.9230769230769
10/17/2005,76.9230769230769
10/24/2005,76.9230769230769
10/31/2005,76.9230769230769
