,PPI: Manufacturing: Coke & Refined Petroleum Products
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,4Q2018=100
Source,Department of Census and Statistics
Status,Active
Series ID,474725307 (LIXGVAAAAAAAFF)
SR Code,SR158229157
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/06/2014
Last Obs. Date,11/25/2024
Last Update Time,31/12/2024
Series remarks,
Suggestions,
Mean,30.18248256959578
Variance,424.6357798628233
Standard Deviation,20.606692598833597
Skewness,1.4393294533994974
Kurtosis,1.0662694434707296
Coefficient Variation,0.682736834232174
Min,8.747617631999999
Max,100.8
Median,23.133102175
Sum,
Subtract,
No. of Obs,569
01/06/2014,24.7135849275
01/13/2014,24.7135849275
01/20/2014,24.7135849275
01/27/2014,24.7135849275
02/03/2014,24.9585187225
02/10/2014,24.9585187225
02/17/2014,24.9585187225
02/24/2014,24.9585187225
03/03/2014,19.966814978
03/10/2014,19.966814978
03/17/2014,19.966814978
03/24/2014,19.966814978
03/31/2014,19.966814978
04/07/2014,24.9585187225
04/14/2014,24.9585187225
04/21/2014,24.9585187225
04/28/2014,24.9585187225
05/05/2014,24.9585187225
05/12/2014,24.9585187225
05/19/2014,24.9585187225
05/26/2014,24.9585187225
06/02/2014,19.966814978
06/09/2014,19.966814978
06/16/2014,19.966814978
06/23/2014,19.966814978
06/30/2014,19.966814978
07/07/2014,24.9585187225
07/14/2014,24.9585187225
07/21/2014,24.9585187225
07/28/2014,24.9585187225
08/04/2014,24.9585187225
08/11/2014,24.9585187225
08/18/2014,24.9585187225
08/25/2014,24.9585187225
09/01/2014,19.966814978
09/08/2014,19.966814978
09/15/2014,19.966814978
09/22/2014,19.966814978
09/29/2014,19.966814978
10/06/2014,24.3949520975
10/13/2014,24.3949520975
10/20/2014,24.3949520975
10/27/2014,24.3949520975
11/03/2014,24.3949520975
11/10/2014,24.3949520975
11/17/2014,24.3949520975
11/24/2014,24.3949520975
12/01/2014,18.467037676
12/08/2014,18.467037676
