,Revenue: Tax: Taxes on Goods and Services as % Value Added of Industry and Services
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,%
Source,World Bank
Status,Active
Series ID,263999502
SR Code,SR5465623
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/01/1990
Last Obs. Date,12/25/2023
Last Update Time,16/01/2025
Series remarks,"Taxes on goods and services include general sales and turnover or value added taxes, selective excises on goods, selective taxes on services, taxes on the use of goods or property, taxes on extraction and production of minerals, and profits of fiscal monopolies.;International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD value added estimates.;;"
Suggestions,
Mean,0.17877467548478054
Variance,0.003296643022257026
Standard Deviation,0.05741640028996093
Skewness,-0.1040166291613494
Kurtosis,-1.3088237910295688
Coefficient Variation,0.3211662956974513
Min,0.08034343884615384
Max,0.26920145653846156
Median,0.191295575
Sum,
Subtract,
No. of Obs,1774
01/01/1990,0.25103277283019
01/08/1990,0.25103277283019
01/15/1990,0.25103277283019
01/22/1990,0.25103277283019
01/29/1990,0.25103277283019
02/05/1990,0.25103277283019
02/12/1990,0.25103277283019
02/19/1990,0.25103277283019
02/26/1990,0.25103277283019
03/05/1990,0.25103277283019
03/12/1990,0.25103277283019
03/19/1990,0.25103277283019
03/26/1990,0.25103277283019
04/02/1990,0.25103277283019
04/09/1990,0.25103277283019
04/16/1990,0.25103277283019
04/23/1990,0.25103277283019
04/30/1990,0.25103277283019
05/07/1990,0.25103277283019
05/14/1990,0.25103277283019
05/21/1990,0.25103277283019
05/28/1990,0.25103277283019
06/04/1990,0.25103277283019
06/11/1990,0.25103277283019
06/18/1990,0.25103277283019
06/25/1990,0.25103277283019
07/02/1990,0.25103277283019
07/09/1990,0.25103277283019
07/16/1990,0.25103277283019
07/23/1990,0.25103277283019
07/30/1990,0.25103277283019
08/06/1990,0.25103277283019
08/13/1990,0.25103277283019
08/20/1990,0.25103277283019
08/27/1990,0.25103277283019
09/03/1990,0.25103277283019
09/10/1990,0.25103277283019
