,Revenue: Tax: Taxes on International Trade: Customs and Other Import Duties as % of Tax Revenue
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,%
Source,World Bank
Status,Active
Series ID,264027002
SR Code,SR5466638
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/01/1990
Last Obs. Date,12/25/2023
Last Update Time,16/01/2025
Series remarks,"Customs and other import duties are all levies collected on goods that are entering the country or services delivered by nonresidents to residents. They include levies imposed for revenue or protection purposes and determined on a specific or ad valorem basis as long as they are restricted to imported goods or services.;International Monetary Fund, Government Finance Statistics Yearbook and data files.;;"
Suggestions,
Mean,0.35267447252536643
Variance,0.011796838434473598
Standard Deviation,0.1086132516522436
Skewness,0.19799187562005047
Kurtosis,-0.9552484848792444
Coefficient Variation,0.30797026752320866
Min,0.17025316442307695
Max,0.5684920626923077
Median,0.23640550500000002
Sum,
Subtract,
No. of Obs,1774
01/01/1990,0.51764563716981
01/08/1990,0.51764563716981
01/15/1990,0.51764563716981
01/22/1990,0.51764563716981
01/29/1990,0.51764563716981
02/05/1990,0.51764563716981
02/12/1990,0.51764563716981
02/19/1990,0.51764563716981
02/26/1990,0.51764563716981
03/05/1990,0.51764563716981
03/12/1990,0.51764563716981
03/19/1990,0.51764563716981
03/26/1990,0.51764563716981
04/02/1990,0.51764563716981
04/09/1990,0.51764563716981
04/16/1990,0.51764563716981
04/23/1990,0.51764563716981
04/30/1990,0.51764563716981
05/07/1990,0.51764563716981
05/14/1990,0.51764563716981
05/21/1990,0.51764563716981
05/28/1990,0.51764563716981
06/04/1990,0.51764563716981
06/11/1990,0.51764563716981
06/18/1990,0.51764563716981
06/25/1990,0.51764563716981
07/02/1990,0.51764563716981
07/09/1990,0.51764563716981
07/16/1990,0.51764563716981
07/23/1990,0.51764563716981
07/30/1990,0.51764563716981
08/06/1990,0.51764563716981
08/13/1990,0.51764563716981
08/20/1990,0.51764563716981
08/27/1990,0.51764563716981
09/03/1990,0.51764563716981
09/10/1990,0.51764563716981
