,Total Greenhouse Gas Emissions: Tonnes of CO2 Equivalent per Year: Transport
1/5/1970,0.027044252
1/12/1970,0.027044252
1/19/1970,0.027044252
1/26/1970,0.027044252
2/2/1970,0.027044252
2/9/1970,0.027044252
2/16/1970,0.027044252
2/23/1970,0.027044252
3/2/1970,0.027044252
3/9/1970,0.027044252
3/16/1970,0.027044252
3/23/1970,0.027044252
3/30/1970,0.027044252
4/6/1970,0.027044252
4/13/1970,0.027044252
4/20/1970,0.027044252
4/27/1970,0.027044252
5/4/1970,0.027044252
5/11/1970,0.027044252
5/18/1970,0.027044252
5/25/1970,0.027044252
6/1/1970,0.027044252
6/8/1970,0.027044252
6/15/1970,0.027044252
6/22/1970,0.027044252
6/29/1970,0.027044252
7/6/1970,0.027044252
7/13/1970,0.027044252
7/20/1970,0.027044252
7/27/1970,0.027044252
8/3/1970,0.027044252
8/10/1970,0.027044252
8/17/1970,0.027044252
8/24/1970,0.027044252
8/31/1970,0.027044252
9/7/1970,0.027044252
9/14/1970,0.027044252
9/21/1970,0.027044252
9/28/1970,0.027044252
10/5/1970,0.027044252
10/12/1970,0.027044252
10/19/1970,0.027044252
10/26/1970,0.027044252
11/2/1970,0.027044252
11/9/1970,0.027044252
11/16/1970,0.027044252
11/23/1970,0.027044252
11/30/1970,0.027044252
12/7/1970,0.027044252
12/14/1970,0.027044252
12/21/1970,0.027044252
12/28/1970,0.027044252
1/4/1971,0.027050087
1/11/1971,0.027050087
1/18/1971,0.027050087
1/25/1971,0.027050087
2/1/1971,0.027050087
2/8/1971,0.027050087
2/15/1971,0.027050087
2/22/1971,0.027050087
3/1/1971,0.027050087
3/8/1971,0.027050087
3/15/1971,0.027050087
3/22/1971,0.027050087
3/29/1971,0.027050087
4/5/1971,0.027050087
4/12/1971,0.027050087
4/19/1971,0.027050087
4/26/1971,0.027050087
5/3/1971,0.027050087
5/10/1971,0.027050087
5/17/1971,0.027050087
5/24/1971,0.027050087
5/31/1971,0.027050087
6/7/1971,0.027050087
6/14/1971,0.027050087
6/21/1971,0.027050087
6/28/1971,0.027050087
7/5/1971,0.027050087
7/12/1971,0.027050087
7/19/1971,0.027050087
