date,Fossil fuel consumption
01/04/1971,0.500
01/11/1971,0.500
01/18/1971,0.500
01/25/1971,0.500
02/01/1971,0.500
02/08/1971,0.500
02/15/1971,0.500
02/22/1971,0.500
03/01/1971,0.500
03/08/1971,0.500
03/15/1971,0.500
03/22/1971,0.500
03/29/1971,0.500
04/05/1971,0.500
04/12/1971,0.500
04/19/1971,0.500
04/26/1971,0.500
05/03/1971,0.500
05/10/1971,0.500
05/17/1971,0.500
05/24/1971,0.500
05/31/1971,0.500
06/07/1971,0.500
06/14/1971,0.500
06/21/1971,0.500
06/28/1971,0.500
07/05/1971,0.500
07/12/1971,0.500
07/19/1971,0.500
07/26/1971,0.500
08/02/1971,0.500
08/09/1971,0.500
08/16/1971,0.500
08/23/1971,0.500
08/30/1971,0.500
09/06/1971,0.500
09/13/1971,0.500
09/20/1971,0.500
09/27/1971,0.500
10/04/1971,0.500
10/11/1971,0.500
10/18/1971,0.500
10/25/1971,0.500
11/01/1971,0.500
11/08/1971,0.500
11/15/1971,0.500
11/22/1971,0.500
11/29/1971,0.500
12/06/1971,0.500
12/13/1971,0.500
12/20/1971,0.500
12/27/1971,0.500
01/03/1972,0.586
01/10/1972,0.586
01/17/1972,0.586
01/24/1972,0.586
01/31/1972,0.586
02/07/1972,0.586
02/14/1972,0.586
02/21/1972,0.586
02/28/1972,0.586
03/06/1972,0.586
03/13/1972,0.586
03/20/1972,0.586
03/27/1972,0.586
04/03/1972,0.586
04/10/1972,0.586
04/17/1972,0.586
04/24/1972,0.586
05/01/1972,0.586
05/08/1972,0.586
05/15/1972,0.586
05/22/1972,0.586
05/29/1972,0.586
06/05/1972,0.586
06/12/1972,0.586
06/19/1972,0.586
06/26/1972,0.586
07/03/1972,0.586
07/10/1972,0.586
07/17/1972,0.586
07/24/1972,0.586
07/31/1972,0.586
08/07/1972,0.586
08/14/1972,0.586
08/21/1972,0.586
08/28/1972,0.586
09/04/1972,0.586
09/11/1972,0.586
09/18/1972,0.586
09/25/1972,0.586
10/02/1972,0.586
10/09/1972,0.586
10/16/1972,0.586
10/23/1972,0.586
10/30/1972,0.586
11/06/1972,0.586
11/13/1972,0.586
11/20/1972,0.586
11/27/1972,0.586
12/04/1972,0.586
12/11/1972,0.586
12/18/1972,0.586
12/25/1972,0.586
01/01/1973,0.587
01/08/1973,0.587
01/15/1973,0.587
01/22/1973,0.587
01/29/1973,0.587
02/05/1973,0.587
02/12/1973,0.587
02/19/1973,0.587
02/26/1973,0.587
03/05/1973,0.587
03/12/1973,0.587
03/19/1973,0.587
03/26/1973,0.587
04/02/1973,0.587
04/09/1973,0.587
04/16/1973,0.587
04/23/1973,0.587
04/30/1973,0.587
05/07/1973,0.587
05/14/1973,0.587
05/21/1973,0.587
05/28/1973,0.587
06/04/1973,0.587
06/11/1973,0.587
06/18/1973,0.587
06/25/1973,0.587
07/02/1973,0.587
07/09/1973,0.587
07/16/1973,0.587
07/23/1973,0.587
07/30/1973,0.587
08/06/1973,0.587
08/13/1973,0.587
08/20/1973,0.587
08/27/1973,0.587
09/03/1973,0.587
09/10/1973,0.587
09/17/1973,0.587
09/24/1973,0.587
10/01/1973,0.587
10/08/1973,0.587
10/15/1973,0.587
10/22/1973,0.587
10/29/1973,0.587
11/05/1973,0.587
11/12/1973,0.587
11/19/1973,0.587
11/26/1973,0.587
12/03/1973,0.587
12/10/1973,0.587
12/17/1973,0.587
