Fuel_Type	Sales_Litres	Date	Sales_MT	Fuel_Cost	Current_Stock	Reorder_Level	Stock_Threshold	Projected_Demand	Demand_Trend	Stock_Turnover_Rate
Lanka Auto Diesel	10000.0	2019-01-01	8000.0	286.3888720461520	17027.02702702700	5000.0	7000.0	10000.0	1.0	2.389708472369860
Lanka Auto Diesel	7866.230278722570	2020-01-01	6294.740754506600	289.074990480569	13243.243243243200	3934.212971566620	5507.898160193270	7868.425943133250	0.892002044549661	2.389708472369860
Lanka Auto Diesel	8536.484795721500	2021-01-01	6829.957257015420	138.50689122014900	5945.945945945950	4268.72328563464	5976.212599888500	8537.446571269280	0.8786003802144980	3.4591312554377300
Lanka Auto Diesel	7361.923537334000	2022-01-01	5890.354952611040	294.5091101428560	18243.243243243200	3681.471845381900	5154.06058353466	7362.943690763800	0.8421459700850100	2.662291253445750
Lanka Auto Diesel	6250.986810860050	2023-01-01	5002.787585950570	152.60267329758200	5540.540540540540	3126.7422412191000	4377.439137706750	6253.484482438210	0.7977886581297750	2.61669369471709
Lanka Kerosene	960.4775566971980	2019-01-01	707.6751533172270	232.2653550349560	5135.135135135140	442.296970823267	619.2157591525740	884.593941646534	0.6775440295562970	0.09878856297123000
Lanka Kerosene	800.3578624371500	2020-01-01	588.7381527597100	87.17915222632030	9729.72972972973	367.96134547481900	515.145883664746	735.9226909496370	0.5895028516087380	2.625763212877800
Lanka Kerosene	864.526516354797	2021-01-01	636.3129529827170	300.0	15675.675675675700	397.695595614198	556.7738338598770	795.391191228396	0.4562573980415370	3.3927569856000300
Lanka Kerosene	387.713662243028	2022-01-01	282.4753763241030	46.354731418209400	135.135135135134	176.54711020256400	247.16595428359000	353.09422040512900	0.3474658344990850	1.4442551018989500
Lanka Kerosene	301.915372358728	2023-01-01	218.5467385244380	213.37885672092900	12972.972972973000	136.5917115777740	191.22839620888300	273.183423155547	0.2278327773593030	2.5640143775220700
Lanka Petrol 92 Octane	6349.208695635760	2019-01-01	4576.101096450470	239.5704225814190	12837.83783783780	2860.0631852815500	4004.0884593941600	5720.126370563090	0.2040514365651570	50.0
Lanka Petrol 92 Octane	5650.8674185405300	2020-01-01	4072.1055565879900	109.844620878723	11621.621621621600	2545.0659728675000	3563.0923620145000	5090.131945734990	0.1872108038308400	2.763526286026070
Lanka Petrol 92 Octane	6090.161016080220	2021-01-01	4388.775320572390	143.41978671239600	6081.08108108108	2742.9845753577400	3840.1784055008400	5485.96915071548	0.2538200796298290	3.42989360710818
Lanka Petrol 92 Octane	5310.486080226860	2022-01-01	3825.3112804311500	288.8909776098760	11891.891891891900	2390.8195502694700	3347.147370377250	4781.639100538930	0.3123856666307970	2.699153715564200
Lanka Petrol 92 Octane	5412.988601115800	2023-01-01	3899.6469057796000	194.80059109127800	19324.32432432430	2437.2793161122500	3412.1910425571500	4874.5586322244900	0.3714354890778010	3.2231569655031300
Lanka Petrol 95 Oct Euro4	431.847303639578	2020-01-01	303.2893514216690	270.51765440542600	16351.351351351400	189.555844638543	265.3781824939600	379.111689277086	0.3754707844614230	2.354711548266120
Lanka Petrol 95 Oct Euro4	430.23538151759	2021-01-01	301.80263891469900	179.9090307650870	1351.351351351350	188.626649321687	264.0773090503620	377.253298643374	0.2981276229419990	3.13027613892703
Lanka Petrol 95 Oct Euro4	163.486645736316	2022-01-01	108.5300130087340	152.89102889775200	14594.594594594600	67.83125813045900	94.9637613826426	135.66251626091800	0.2264069729904230	1.47443936354689
Lanka Super Diesel - Euro4	217.56073565294900	2019-01-01	176.9187883293060	46.4866675356534	6756.756756756760	110.5742427058170	154.8039397881430	221.148485411633	0.080974927364683	8.46616218847273
Lanka Super Diesel - Euro4	182.889470264204	2021-01-01	148.67125069689600	144.63720320361200	3243.243243243240	92.91953168556000	130.087344359784	185.83906337112000	0.0076939631981061	3.5360318134356500
Lanka Super Diesel - Euro4	217.282384223103	2022-01-01	176.9187883293060	87.18845637064330	16216.216216216200	110.5742427058170	154.8039397881430	221.148485411633	0.0054072958140535	3.5183636101701
