date,petroleum_imports_crudeOil,Taxes_on_Customs_and_Other_Import Duties ,Foreign Direct Investments,GDP Goods and Services,GDP: Gross National Income,Government Debt,New Vehicle Registrations,Vehicle Sales,Port Stay Duration,Vehicle Sales Asia,No.of Vessels Colombo,Imports of Refined Products,Colombo port calls,Tax income profits_gains,Tax on Export,Tax Goods & Services,Tax Road Transport,GDP FCE Households,Diesel User Price,Petrol User Price,Consumption_Oil,Sales 90 Octane,Sales 95 Octane,Sales Auto Diesel,Household_income,Fuel_other_manufacture
3/21/2011,31.78846154,9.34934427,0.029093647,42460.93312,140663.187,,11486.25,153.8461538,,19.23076923,82.25,58.32692308,,3025.173077,,0.126947578,1.464038462,96712.7897,0.040192308,0.070192308,1.95509522,13,0.673076923,33.19230769,,
3/28/2011,31.78846154,9.34934427,0.029093647,42460.93312,140663.187,,11486.25,153.8461538,,19.23076923,82.25,58.32692308,,3025.173077,,0.126947578,1.464038462,96712.7897,0.040192308,0.070192308,1.95509522,13,0.673076923,33.19230769,,
4/4/2011,31.78846154,9.34934427,0.029093647,44909.05773,142146.7934,,9349.5,153.8461538,,19.23076923,91.75,58.32692308,,3025.173077,,0.126947578,1.464038462,94450.26722,0.040192308,0.070192308,1.95509522,13,0.673076923,33.19230769,,
4/11/2011,31.78846154,9.34934427,0.029093647,44909.05773,142146.7934,,9349.5,153.8461538,,19.23076923,91.75,58.32692308,,3025.173077,,0.126947578,1.464038462,94450.26722,0.040192308,0.070192308,1.95509522,13,0.673076923,33.19230769,,
4/18/2011,31.78846154,9.34934427,0.029093647,44909.05773,142146.7934,,9349.5,153.8461538,,19.23076923,91.75,58.32692308,,3025.173077,,0.126947578,1.464038462,94450.26722,0.040192308,0.070192308,1.95509522,13,0.673076923,33.19230769,,
4/25/2011,31.78846154,9.34934427,0.029093647,44909.05773,142146.7934,,9349.5,153.8461538,,19.23076923,91.75,58.32692308,,3025.173077,,0.126947578,1.464038462,94450.26722,0.040192308,0.070192308,1.95509522,13,0.673076923,33.19230769,,
5/2/2011,31.78846154,9.34934427,0.029093647,44909.05773,142146.7934,,8372.4,153.8461538,,19.23076923,65.4,58.32692308,,3025.173077,,0.126947578,1.464038462,94450.26722,0.040192308,0.070192308,1.95509522,13,0.673076923,33.19230769,,
5/9/2011,31.78846154,9.34934427,0.029093647,44909.05773,142146.7934,,8372.4,153.8461538,,19.23076923,65.4,58.32692308,,3025.173077,,0.126947578,1.464038462,94450.26722,0.040192308,0.070192308,1.95509522,13,0.673076923,33.19230769,,
5/16/2011,31.78846154,9.34934427,0.029093647,44909.05773,142146.7934,,8372.4,153.8461538,,19.23076923,65.4,58.32692308,,3025.173077,,0.126947578,1.464038462,94450.26722,0.040192308,0.070192308,1.95509522,13,0.673076923,33.19230769,,
5/23/2011,31.78846154,9.34934427,0.029093647,44909.05773,142146.7934,,8372.4,153.8461538,,19.23076923,65.4,58.32692308,,3025.173077,,0.126947578,1.464038462,94450.26722,0.040192308,0.070192308,1.95509522,13,0.673076923,33.19230769,,
5/30/2011,31.78846154,9.34934427,0.029093647,44909.05773,142146.7934,,8372.4,153.8461538,,19.23076923,65.4,58.32692308,,3025.173077,,0.126947578,1.464038462,94450.26722,0.040192308,0.070192308,1.95509522,13,0.673076923,33.19230769,,
6/6/2011,31.78846154,9.34934427,0.029093647,44909.05773,142146.7934,,12039.25,153.8461538,,19.23076923,85.5,58.32692308,,3025.173077,,0.126947578,1.464038462,94450.26722,0.040192308,0.070192308,1.95509522,13,0.673076923,33.19230769,,
