Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
Sri Lanka	LKA	"Intentional homicides (per 100,000 people)"	VC.IHR.PSRC.P5																															11.53795137					8.879073375	9.687539466	10.0329975		10.27829515						6.196036915	10.28649913		9.869049008	5.365562118	3.691597732	3.509151659	3.216421334	2.929240643	2.603644717	2.282452568	2.473688588	2.259749091	2.381756671	3.427304923				
Sri Lanka	LKA	"Internally displaced persons, new displacement associated with disasters (number of cases)"	VC.IDP.NWDS																																																	525000	363000	141000	685000	129000	324000	152000	66000	500000	135000	113000	87000	19000	121000	11000	17000
Sri Lanka	LKA	"Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval"	VA.PER.RNK.UPPER																																					53		55.72139359		53.73134232		53.73134232	53.2338295	52.40384674	52.40384674	42.78845978	37.98077011	38.94230652	37.44075775	36.01895905	35.6807518	34.74178314	34.27230072	32.51231384	43.84236526	49.26108551	51.72413635	53.88349533	50.24154663	53.62318802	52.65700531	46.37681198	45.58823395
Sri Lanka	LKA	Voice and Accountability: Estimate	VA.EST																																					-0.269144207		-0.150950506		-0.190723956		-0.088549092	-0.092452683	-0.164139301	-0.206795961	-0.310158849	-0.435254872	-0.464874476	-0.480314404	-0.505228579	-0.545052946	-0.575279295	-0.594248354	-0.667327285	-0.296131432	-0.081012078	-0.06186245	-0.007844036	-0.088972844	-0.052089635	-0.074366927	-0.214537114	-0.231143683
Sri Lanka	LKA	High-technology exports (current US$)	TX.VAL.TECH.CD																																																	103072721	46943092	62430443	71718329	60090878	72418950	71136595	63227842	67493927	79028241		90992885	83151264	94328328	103356170	112381343
Sri Lanka	LKA	Merchandise exports to low- and middle-income economies within region (% of total merchandise exports)	TX.VAL.MRCH.WR.ZS	3.193773484	3.541076487	4.856988667	4.159687326	5.438459537	3.871600098	3.753198749	2.909738717	3.140096618	3.907790849	3.216731898	6.296581935	8.260938143	8.630435805	7.934643238	9.29482802	9.36277391	9.905264478	6.934935665	6.48563927	7.376633475	8.899004156	8.160600178	6.394709921	4.710400343	4.263041596	5.121575711	4.116269762	6.486019424	5.749950734	3.787879256	3.145636973	2.136142293	2.534177673	2.719599875	2.683504341	2.69014429	2.635558436	2.382770095	3.097102198	3.580919041	3.42863028	5.808842934	7.063422249	9.295890637	10.80156976	9.204258427	7.802666732	6.270293777	5.596060847	6.442076251	6.244415216	7.479611022	6.965369341	8.083916546	9.151775647	8.199975514	8.92243229	9.580400313	9.63294572	9.220167137			
Sri Lanka	LKA	Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports)	TX.VAL.MRCH.R5.ZS	3.193773484	3.541076487	4.856988667	4.159687326	5.438459537	3.871600098	3.753198749	2.909738717	3.140096618	3.907790849	3.216731898	6.296581935	8.260938143	8.630435805	7.934643238	9.29482802	9.36277391	9.905264478	6.934935665	6.48563927	7.376633475	8.899004156	8.160600178	6.394709921	4.710400343	4.263041596	5.121575711	4.116269762	6.486019424	5.749950734	3.787879256	3.145636973	2.136142293	2.534177673	2.719599875	2.683504341	2.69014429	2.635558436	2.382770095	3.097102198	3.580919041	3.42863028	5.808842934	7.063422249	9.295890637	10.80156976	9.204258427	7.802666732	6.270293777	5.596060847	6.442076251	6.244415216	7.479611022	6.965369341	8.083916546	9.151775647	8.199975514	8.92243229	9.580400313	9.63294572	9.220167137			
Sri Lanka	LKA	Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports)	TX.VAL.MRCH.R1.ZS	7.165861514	5.609065156	8.121964382	6.169737577	7.338017174	9.311443274	10.77622974	9.53087886	10.02415459	13.17341535	12.83083146	9.383020731	8.032696132	9.266279251	7.376274149	11.96492111	12.18402784	8.092555254	7.908276597	5.837944389	5.714359953	6.933006432	3.169423371	2.82202732	2.497269374	2.613734737	2.244527588	2.219762232	3.43014164	1.934475231	1.940300589	2.509698997	1.041070262	1.340112176	1.688027509	1.920547224	1.858645146	1.901058544	1.800978829	1.77468846	2.089541629	1.476113904	1.372514763	1.360745457	1.262771813	1.885222743	2.291576314	2.316221401	2.647275198	3.188865652	3.64608868	4.21597594	3.552095821	2.954296454	4.089426351	2.128828803	4.281595447	4.787126774	4.266648659	4.751494955	4.362746727			
Sri Lanka	LKA	Merchandise exports to economies in the Arab World (% of total merchandise exports)	TX.VAL.MRCH.AL.ZS	0.831991412	0.991501416	0.836481382	0.949190396	1.170960187	0.931144327	0.426499858	1.662707838	1.781400966	5.824269905	5.572228056	5.836932379			7.868742076	14.62009848	14.5999083	20.18178544	21.95893155	16.8654226	17.01489435	16.22517106	16.49194269	20.65668577	24.28780803	20.779037	16.39083129	17.13894481	15.29044854	12.99349832	14.21758384	12.20006081	6.974830982	8.121078341	8.002500781	6.077348066	6.358522866	6.675307842	8.247677384	6.721357751	6.021588908	7.838674984	7.170551045	7.52269307	6.047112132	6.686933931	6.365830299	5.927268277	7.179813828	7.614068668	7.723991907	7.009065635	6.837420471	6.480713857	7.008217552	6.972797494	6.753052391	7.043931066	6.821050955	6.546830594	6.280862554			
Sri Lanka	LKA	ICT goods exports (% of total goods exports)	TX.VAL.ICTG.ZS.UN																																									2.79	2.1	1.41	1.59	1.37	1.09	0.74	1.13	0.8	0.34	0.46	0.39	0.5	0.3	0.62	0.35	0.39	0.56		0.31	0.26	0.2	0.19	
