,GDP: FCE: Households
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,LKR mn
Source,Department of Census and Statistics
Status,Active
Series ID,495105947 (LAZAAABBAAABCG)
SR Code,SR173549697
Trade Code,
Mnemonic,
Function Description,SPLICE(GDP: FCE: Households {375579907} [SPLICE(GDP: FCE: Households {495105947}; No; Average ratio; Range; 2015-03-01; 2015-03-01)]; No; Average ratio; Range; 2015-03-01; 2015-03-01) > DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/04/2010
Last Obs. Date,09/30/2024
Last Update Time,31/12/2024
Series remarks,
Suggestions,
Mean,185772.4610423654
Variance,7977347929.944695
Standard Deviation,89316.00041394988
Skewness,1.1986322640932057
Kurtosis,0.400815673896608
Coefficient Variation,0.4807817042030862
Min,81078.58747649682
Max,404535.3781118908
Median,157350.83264298152
Sum,
Subtract,
No. of Obs,770
01/04/2010,84537.9531306795
01/11/2010,84537.9531306795
01/18/2010,84537.9531306795
01/25/2010,84537.9531306795
02/01/2010,84537.9531306795
02/08/2010,84537.9531306795
02/15/2010,84537.9531306795
02/22/2010,84537.9531306795
03/01/2010,84537.9531306795
03/08/2010,84537.9531306795
03/15/2010,84537.9531306795
03/22/2010,84537.9531306795
03/29/2010,84537.9531306795
04/05/2010,81078.5874764968
04/12/2010,81078.5874764968
04/19/2010,81078.5874764968
04/26/2010,81078.5874764968
05/03/2010,81078.5874764968
05/10/2010,81078.5874764968
05/17/2010,81078.5874764968
05/24/2010,81078.5874764968
05/31/2010,81078.5874764968
06/07/2010,81078.5874764968
06/14/2010,81078.5874764968
06/21/2010,81078.5874764968
06/28/2010,81078.5874764968
07/05/2010,87418.9532541625
07/12/2010,87418.9532541625
07/19/2010,87418.9532541625
07/26/2010,87418.9532541625
08/02/2010,87418.9532541625
08/09/2010,87418.9532541625
08/16/2010,87418.9532541625
08/23/2010,87418.9532541625
08/30/2010,87418.9532541625
09/06/2010,87418.9532541625
09/13/2010,87418.9532541625
09/20/2010,87418.9532541625
09/27/2010,87418.9532541625
