,NN: BP: Consumption: Oil: Asia Pacific: Sri Lanka
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,Barrel/Day th
Source,BP PLC
Status,Active
Series ID,403964597
SR Code,SR115108027
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/04/1965
Last Obs. Date,12/25/2023
Last Update Time,27/06/2024
Series remarks,
Suggestions,
Mean,1.1789785504093582
Variance,0.4991869831524687
Standard Deviation,0.7065316575727295
Skewness,0.5933796027264748
Kurtosis,-0.9311114994158745
Coefficient Variation,0.5992743950493515
Min,0.2954589051923077
Max,2.7656201448076922
Median,0.8429445173076923
Sum,
Subtract,
No. of Obs,3078
01/04/1965,0.29545890519231
01/11/1965,0.29545890519231
01/18/1965,0.29545890519231
01/25/1965,0.29545890519231
02/01/1965,0.29545890519231
02/08/1965,0.29545890519231
02/15/1965,0.29545890519231
02/22/1965,0.29545890519231
03/01/1965,0.29545890519231
03/08/1965,0.29545890519231
03/15/1965,0.29545890519231
03/22/1965,0.29545890519231
03/29/1965,0.29545890519231
04/05/1965,0.29545890519231
04/12/1965,0.29545890519231
04/19/1965,0.29545890519231
04/26/1965,0.29545890519231
05/03/1965,0.29545890519231
05/10/1965,0.29545890519231
05/17/1965,0.29545890519231
05/24/1965,0.29545890519231
05/31/1965,0.29545890519231
06/07/1965,0.29545890519231
06/14/1965,0.29545890519231
06/21/1965,0.29545890519231
06/28/1965,0.29545890519231
07/05/1965,0.29545890519231
07/12/1965,0.29545890519231
07/19/1965,0.29545890519231
07/26/1965,0.29545890519231
08/02/1965,0.29545890519231
08/09/1965,0.29545890519231
08/16/1965,0.29545890519231
08/23/1965,0.29545890519231
08/30/1965,0.29545890519231
09/06/1965,0.29545890519231
09/13/1965,0.29545890519231
09/20/1965,0.29545890519231
09/27/1965,0.29545890519231
10/04/1965,0.29545890519231
10/11/1965,0.29545890519231
10/18/1965,0.29545890519231
10/25/1965,0.29545890519231
11/01/1965,0.29545890519231
11/08/1965,0.29545890519231
