,Number of Vessels Arrivals: Port of Colombo
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,Unit
Source,Central Bank of Sri Lanka
Status,Active
Series ID,31012201 (LTFAA)
SR Code,SR543627
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,12/07/1998
Last Obs. Date,11/25/2024
Last Update Time,30/12/2024
Series remarks,
Suggestions,
Mean,83.35103244837761
Variance,138.34472956056982
Standard Deviation,11.762003637160202
Skewness,0.14871153311344112
Kurtosis,-0.8056000246702539
Coefficient Variation,0.1411140725154766
Min,60.8
Max,110.25
Median,84.25
Sum,
Subtract,
No. of Obs,1356
12/07/1998,88.25
12/14/1998,88.25
12/21/1998,88.25
12/28/1998,88.25
01/04/1999,88.25
01/11/1999,88.25
01/18/1999,88.25
01/25/1999,88.25
02/01/1999,80.25
02/08/1999,80.25
02/15/1999,80.25
02/22/1999,80.25
03/01/1999,75
03/08/1999,75
03/15/1999,75
03/22/1999,75
03/29/1999,75
04/05/1999,88.75
04/12/1999,88.75
04/19/1999,88.75
04/26/1999,88.75
05/03/1999,62.8
05/10/1999,62.8
05/17/1999,62.8
05/24/1999,62.8
05/31/1999,62.8
06/07/1999,78.75
06/14/1999,78.75
06/21/1999,78.75
06/28/1999,78.75
07/05/1999,78.75
07/12/1999,78.75
07/19/1999,78.75
07/26/1999,78.75
08/02/1999,67.6
08/09/1999,67.6
08/16/1999,67.6
08/23/1999,67.6
08/30/1999,67.6
09/06/1999,82
09/13/1999,82
09/20/1999,82
09/27/1999,82
10/04/1999,79.75
10/11/1999,79.75
10/18/1999,79.75
10/25/1999,79.75
11/01/1999,63.8
11/08/1999,63.8
11/15/1999,63.8
11/22/1999,63.8
11/29/1999,63.8
12/06/1999,79
12/13/1999,79
12/20/1999,79
12/27/1999,79
01/03/2000,65.6
01/10/2000,65.6
01/17/2000,65.6
01/24/2000,65.6
01/31/2000,65.6
02/07/2000,79.75
02/14/2000,79.75
02/21/2000,79.75
02/28/2000,79.75
