,Petrol End User Price
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,USD/l
Source,Organisation for Economic Co-operation and Development
Status,Active
Series ID,496824487
SR Code,SR174158067
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/01/1990
Last Obs. Date,12/27/2021
Last Update Time,31/01/2024
Series remarks,
Suggestions,
Mean,0.07520958083832345
Variance,0.00029363455132118676
Standard Deviation,0.01713576818590829
Skewness,-0.07944054426608456
Kurtosis,-1.0484190698761984
Coefficient Variation,0.22784022986040453
Min,0.046538461538461535
Max,0.1075
Median,0.07461538461538461
Sum,
Subtract,
No. of Obs,1670
01/01/1990,0.09566037735849
01/08/1990,0.09566037735849
01/15/1990,0.09566037735849
01/22/1990,0.09566037735849
01/29/1990,0.09566037735849
02/05/1990,0.09566037735849
02/12/1990,0.09566037735849
02/19/1990,0.09566037735849
02/26/1990,0.09566037735849
03/05/1990,0.09566037735849
03/12/1990,0.09566037735849
03/19/1990,0.09566037735849
03/26/1990,0.09566037735849
04/02/1990,0.09566037735849
04/09/1990,0.09566037735849
04/16/1990,0.09566037735849
04/23/1990,0.09566037735849
04/30/1990,0.09566037735849
05/07/1990,0.09566037735849
05/14/1990,0.09566037735849
05/21/1990,0.09566037735849
05/28/1990,0.09566037735849
06/04/1990,0.09566037735849
06/11/1990,0.09566037735849
06/18/1990,0.09566037735849
06/25/1990,0.09566037735849
07/02/1990,0.09566037735849
07/09/1990,0.09566037735849
07/16/1990,0.09566037735849
07/23/1990,0.09566037735849
07/30/1990,0.09566037735849
08/06/1990,0.09566037735849
08/13/1990,0.09566037735849
08/20/1990,0.09566037735849
08/27/1990,0.09566037735849
09/03/1990,0.09566037735849
09/10/1990,0.09566037735849
09/17/1990,0.09566037735849
09/24/1990,0.09566037735849
10/01/1990,0.09566037735849
10/08/1990,0.09566037735849
10/15/1990,0.09566037735849
10/22/1990,0.09566037735849
10/29/1990,0.09566037735849
11/05/1990,0.09566037735849
11/12/1990,0.09566037735849
