,"Revenue: Tax: Taxes on Income, Profits and Capital Gains"
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,LKR mn
Source,World Bank
Status,Active
Series ID,264131202
SR Code,SR5468529
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/01/1990
Last Obs. Date,12/25/2023
Last Update Time,16/01/2025
Series remarks,"Taxes on income, profits, and capital gains are levied on the actual or presumptive net income of individuals, on the profits of corporations and enterprises, and on capital gains, whether realized or not, on land, securities, and other assets. Intragovernmental payments are eliminated in consolidation.;International Monetary Fund, Government Finance Statistics Yearbook and data files.;;"
Suggestions,
Mean,2945.08658360495
Variance,12603677.869116029
Standard Deviation,3550.1658931824622
Skewness,2.2722706382919635
Kurtosis,6.186721924635577
Coefficient Variation,1.2054538270439783
Min,138.43396226415095
Max,17521.319897428653
Median,1547.7692307692307
Sum,
Subtract,
No. of Obs,1774
01/01/1990,138.433962264151
01/08/1990,138.433962264151
01/15/1990,138.433962264151
01/22/1990,138.433962264151
01/29/1990,138.433962264151
02/05/1990,138.433962264151
02/12/1990,138.433962264151
02/19/1990,138.433962264151
02/26/1990,138.433962264151
03/05/1990,138.433962264151
03/12/1990,138.433962264151
03/19/1990,138.433962264151
03/26/1990,138.433962264151
04/02/1990,138.433962264151
04/09/1990,138.433962264151
04/16/1990,138.433962264151
04/23/1990,138.433962264151
04/30/1990,138.433962264151
05/07/1990,138.433962264151
05/14/1990,138.433962264151
05/21/1990,138.433962264151
05/28/1990,138.433962264151
06/04/1990,138.433962264151
06/11/1990,138.433962264151
06/18/1990,138.433962264151
06/25/1990,138.433962264151
07/02/1990,138.433962264151
07/09/1990,138.433962264151
07/16/1990,138.433962264151
07/23/1990,138.433962264151
07/30/1990,138.433962264151
08/06/1990,138.433962264151
08/13/1990,138.433962264151
08/20/1990,138.433962264151
08/27/1990,138.433962264151
09/03/1990,138.433962264151
09/10/1990,138.433962264151
09/17/1990,138.433962264151
09/24/1990,138.433962264151
10/01/1990,138.433962264151
