,Revenue: Tax: Taxes on International Trade: Customs and Other Import Duties as % of Tax Revenue
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,%
Source,World Bank
Status,Active
Series ID,264027002
SR Code,SR5466638
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute) > AGGREGATE(Yearly; December; Sum; No) > DISAGGREGATE(Weekly; Sunday; Replicate)
First Obs. Date,01/01/1990
Last Obs. Date,12/25/2023
Last Update Time,16/01/2025
Series remarks,"Customs and other import duties are all levies collected on goods that are entering the country or services delivered by nonresidents to residents. They include levies imposed for revenue or protection purposes and determined on a specific or ad valorem basis as long as they are restricted to imported goods or services.;International Monetary Fund, Government Finance Statistics Yearbook and data files.;;"
Suggestions,
Mean,18.40352543677563
Variance,32.18631178768314
Standard Deviation,5.673298140207611
Skewness,0.1973104691042868
Kurtosis,-0.9674750158901135
Coefficient Variation,0.3082723557341193
Min,8.853164549999997
Max,29.561587259999985
Median,12.293086260000017
Sum,
Subtract,
No. of Obs,1774
01/01/1990,27.43521877
01/08/1990,27.43521877
01/15/1990,27.43521877
01/22/1990,27.43521877
01/29/1990,27.43521877
02/05/1990,27.43521877
02/12/1990,27.43521877
02/19/1990,27.43521877
02/26/1990,27.43521877
03/05/1990,27.43521877
03/12/1990,27.43521877
03/19/1990,27.43521877
03/26/1990,27.43521877
04/02/1990,27.43521877
04/09/1990,27.43521877
04/16/1990,27.43521877
04/23/1990,27.43521877
04/30/1990,27.43521877
05/07/1990,27.43521877
05/14/1990,27.43521877
05/21/1990,27.43521877
05/28/1990,27.43521877
06/04/1990,27.43521877
06/11/1990,27.43521877
06/18/1990,27.43521877
06/25/1990,27.43521877
07/02/1990,27.43521877
07/09/1990,27.43521877
07/16/1990,27.43521877
07/23/1990,27.43521877
07/30/1990,27.43521877
08/06/1990,27.43521877
08/13/1990,27.43521877
08/20/1990,27.43521877
08/27/1990,27.43521877
09/03/1990,27.43521877
09/10/1990,27.43521877
09/17/1990,27.43521877
09/24/1990,27.43521877
