,Revenue: Tax: Taxes on International Trade: Taxes on Exports
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,LKR mn
Source,World Bank
Status,Active
Series ID,263949202
SR Code,SR5467655
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/01/1990
Last Obs. Date,12/25/2023
Last Update Time,16/01/2025
Series remarks,"Taxes on exports are all levies on goods being transported out of the country or services being delivered to nonresidents by residents. Rebates on exported goods that are repayments of previously paid general consumption taxes, excise taxes, or import duties are deducted from the gross amounts receivable from these taxes, not from amounts receivable from export taxes.;International Monetary Fund, Government Finance Statistics Yearbook and data files.;;"
Suggestions,
Mean,26.903013733198144
Variance,473.0682134136335
Standard Deviation,21.750131342445577
Skewness,-0.17848429673269647
Kurtosis,-1.7031315364199384
Coefficient Variation,0.8084644924224997
Min,0.07692307692307693
Max,57.31041625423077
Median,0.46153846153846156
Sum,
Subtract,
No. of Obs,888
01/01/1990,48.0943396226415
01/08/1990,48.0943396226415
01/15/1990,48.0943396226415
01/22/1990,48.0943396226415
01/29/1990,48.0943396226415
02/05/1990,48.0943396226415
02/12/1990,48.0943396226415
02/19/1990,48.0943396226415
02/26/1990,48.0943396226415
03/05/1990,48.0943396226415
03/12/1990,48.0943396226415
03/19/1990,48.0943396226415
03/26/1990,48.0943396226415
04/02/1990,48.0943396226415
04/09/1990,48.0943396226415
04/16/1990,48.0943396226415
04/23/1990,48.0943396226415
04/30/1990,48.0943396226415
05/07/1990,48.0943396226415
05/14/1990,48.0943396226415
05/21/1990,48.0943396226415
05/28/1990,48.0943396226415
06/04/1990,48.0943396226415
06/11/1990,48.0943396226415
06/18/1990,48.0943396226415
06/25/1990,48.0943396226415
07/02/1990,48.0943396226415
07/09/1990,48.0943396226415
07/16/1990,48.0943396226415
07/23/1990,48.0943396226415
07/30/1990,48.0943396226415
08/06/1990,48.0943396226415
08/13/1990,48.0943396226415
08/20/1990,48.0943396226415
08/27/1990,48.0943396226415
09/03/1990,48.0943396226415
