,Road Transport Related Tax Revenue: % of Total Environmental Tax Revenue
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,%
Source,Organisation for Economic Co-operation and Development
Status,Active
Series ID,539197047
SR Code,SR221756767
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/02/2006
Last Obs. Date,12/26/2022
Last Update Time,21/10/2024
Series remarks,
Suggestions,
Mean,1.0943517474633604
Variance,0.1826520831685121
Standard Deviation,0.42737815008316943
Skewness,-0.591256572289203
Kurtosis,-0.9706618316384015
Coefficient Variation,0.39053087919291535
Min,0.23423076923076921
Max,1.6421153846153846
Median,1.488846153846154
Sum,
Subtract,
No. of Obs,887
01/02/2006,1.04442307692308
01/09/2006,1.04442307692308
01/16/2006,1.04442307692308
01/23/2006,1.04442307692308
01/30/2006,1.04442307692308
02/06/2006,1.04442307692308
02/13/2006,1.04442307692308
02/20/2006,1.04442307692308
02/27/2006,1.04442307692308
03/06/2006,1.04442307692308
03/13/2006,1.04442307692308
03/20/2006,1.04442307692308
03/27/2006,1.04442307692308
04/03/2006,1.04442307692308
04/10/2006,1.04442307692308
04/17/2006,1.04442307692308
04/24/2006,1.04442307692308
05/01/2006,1.04442307692308
05/08/2006,1.04442307692308
05/15/2006,1.04442307692308
05/22/2006,1.04442307692308
05/29/2006,1.04442307692308
06/05/2006,1.04442307692308
06/12/2006,1.04442307692308
06/19/2006,1.04442307692308
06/26/2006,1.04442307692308
07/03/2006,1.04442307692308
07/10/2006,1.04442307692308
07/17/2006,1.04442307692308
07/24/2006,1.04442307692308
07/31/2006,1.04442307692308
08/07/2006,1.04442307692308
08/14/2006,1.04442307692308
08/21/2006,1.04442307692308
08/28/2006,1.04442307692308
09/04/2006,1.04442307692308
09/11/2006,1.04442307692308
09/18/2006,1.04442307692308
09/25/2006,1.04442307692308
10/02/2006,1.04442307692308
10/09/2006,1.04442307692308
10/16/2006,1.04442307692308
10/23/2006,1.04442307692308
10/30/2006,1.04442307692308
