Reporter Name,Partner Name,Year,Trade Flow,Product Group,Import (US$ Thousand),Import Product Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports (US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand)
Sri Lanka,United Arab Emirates,2000,Import,Fuels,46551.72,33.29,7.71,4.16,17,94.12,5.88,0,0,25,0,0,12077.95,34473.76,7.71,4.16,17,94.12,5.88,0,0,25,0,0,12077.95,34473.76
Sri Lanka,Australia,2000,Import,Fuels,279.32,0.17,9.25,7.4,16,100,0,0,0,25,5,0,279.32,0,9.25,7.4,16,100,0,0,0,25,5,0,279.32,0
Sri Lanka,Austria,2000,Import,Fuels,0.15,0,10.63,15.42,13,100,0,0,0,25,5,0,0.15,0,10.63,15.42,13,100,0,0,0,25,5,0,0.15,0
Sri Lanka,Belgium,2000,Import,Fuels,33.81,0.02,8.75,6.27,18,100,0,0,0,25,5,0,33.81,0,8.75,6.27,18,100,0,0,0,25,5,0,33.81,0
Sri Lanka,Bahrain,2000,Import,Fuels,55720.23,97.64,16.25,16.25,12,100,0,0,0,25,10,0,55720.23,0,16.25,16.25,12,100,0,0,0,25,10,0,55720.23,0
Sri Lanka,Switzerland,2000,Import,Fuels,0.51,0,13.13,15.57,13,100,0,0,0,25,10,0,0.51,0,13.13,15.57,13,100,0,0,0,25,10,0,0.51,0
Sri Lanka,China,2000,Import,Fuels,544.99,0.22,7.5,9.45,4,100,0,0,0,10,5,0,544.99,0,7.5,9.45,4,100,0,0,0,10,5,0,544.99,0
Sri Lanka,Germany,2000,Import,Fuels,286.74,0.19,8.13,10.27,21,100,0,0,0,25,5,0,286.74,0,8.13,10.27,21,100,0,0,0,25,5,0,286.74,0
Sri Lanka,Denmark,2000,Import,Fuels,1.11,0.01,5,5,1,100,0,0,0,5,5,0,1.11,0,5,5,1,100,0,0,0,5,5,0,1.11,0
Sri Lanka,Spain,2000,Import,Fuels,8.81,0.09,5,5,1,100,0,0,0,5,5,0,8.81,0,5,5,1,100,0,0,0,5,5,0,8.81,0
Sri Lanka,France,2000,Import,Fuels,93.97,0.12,10.42,12.97,14,100,0,0,0,25,5,0,93.97,0,10.42,12.97,14,100,0,0,0,25,5,0,93.97,0
Sri Lanka,United Kingdom,2000,Import,Fuels,693.97,0.23,7.63,13.59,21,95.24,4.76,0,0,25,0,0,693.9,0.08,7.63,13.59,21,95.24,4.76,0,0,25,0,0,693.9,0.08
Sri Lanka,"Hong Kong, China",2000,Import,Fuels,607.85,0.12,9.25,7.26,16,100,0,0,0,25,5,0,607.85,0,9.25,7.26,16,100,0,0,0,25,5,0,607.85,0
Sri Lanka,Indonesia,2000,Import,Fuels,35.83,0.02,5,5,1,100,0,0,0,5,5,0,35.83,0,5,5,1,100,0,0,0,5,5,0,35.83,0
Sri Lanka,India,2000,Import,Fuels,558.38,0.09,4.75,4.75,25,100,0,0,0,4.75,4.75,0,558.38,0,7.59,11.05,25,100,0,0,0,25,5,0,558.38,0
