Reporter Name,Partner Name,Year,Trade Flow,Product Group,Import (US$ Thousand),Import Product Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports (US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand)
Sri Lanka,Afghanistan,2010,Import,Fuels,5.59,0.5,9.38,9.38,9,44.44,44.44,11.11,0,30,0,5.59,5.59,0,9.38,9.38,9,44.44,44.44,11.11,0,30,0,5.59,5.59,0
Sri Lanka,United Arab Emirates,2010,Import,Fuels,117094.22,34.89,8.69,9.66,25,48,44,8,0,30,0,74894.63,117084.4,9.82,8.69,9.66,25,48,44,8,0,30,0,74894.63,117084.4,9.82
Sri Lanka,Antigua and Barbuda,2010,Import,Fuels,14.94,33.05,3.75,3.75,5,20,60,20,0,15,0,14.94,14.94,0,3.75,3.75,5,20,60,20,0,15,0,14.94,14.94,0
Sri Lanka,Australia,2010,Import,Fuels,112.65,0.06,0,0,2,0,100,0,0,0,0,0,0,112.65,0,0,2,0,100,0,0,0,0,0,0,112.65
Sri Lanka,Austria,2010,Import,Fuels,0.02,0,4.69,4.89,10,40,50,10,0,30,0,0.01,0.01,0.01,4.69,4.89,10,40,50,10,0,30,0,0.01,0.01,0.01
Sri Lanka,Belgium,2010,Import,Fuels,13.49,0.01,3.13,4.59,11,36.36,54.55,9.09,0,30,0,6.6,6.6,6.88,3.13,4.59,11,36.36,54.55,9.09,0,30,0,6.6,6.6,6.88
Sri Lanka,"Bahamas, The",2010,Import,Fuels,1625.44,98.59,9.38,9.38,9,44.44,44.44,11.11,0,30,0,1625.44,1625.44,0,9.38,9.38,9,44.44,44.44,11.11,0,30,0,1625.44,1625.44,0
Sri Lanka,Switzerland,2010,Import,Fuels,14.49,0.01,6.09,2.67,12,41.67,50,8.33,0,30,0,3.12,3.75,10.74,6.09,2.67,12,41.67,50,8.33,0,30,0,3.12,3.75,10.74
Sri Lanka,China,2010,Import,Fuels,2281.68,0.18,6.8,9.48,16,43.75,50,6.25,0,30,0,412.83,1596.21,685.46,6.8,9.48,16,43.75,50,6.25,0,30,0,412.83,1596.21,685.46
Sri Lanka,Germany,2010,Import,Fuels,188.45,0.07,4.31,7.15,23,30.43,60.87,8.7,0,30,0,79.56,120.52,67.92,4.31,7.15,23,30.43,60.87,8.7,0,30,0,79.56,120.52,67.92
Sri Lanka,Denmark,2010,Import,Fuels,8.94,0.03,5,2.66,3,33.33,66.67,0,0,15,0,0,1.58,7.35,5,2.66,3,33.33,66.67,0,0,15,0,0,1.58,7.35
Sri Lanka,"Egypt, Arab Rep.",2010,Import,Fuels,208.88,2.24,6.56,4.04,14,35.71,50,14.29,0,30,0,208.88,208.88,0,6.56,4.04,14,35.71,50,14.29,0,30,0,208.88,208.88,0
Sri Lanka,Spain,2010,Import,Fuels,76.18,0.4,0,0,1,0,100,0,0,0,0,0,0,76.18,0,0,1,0,100,0,0,0,0,0,0,76.18
Sri Lanka,France,2010,Import,Fuels,101.66,0.07,4.69,9.17,10,40,50,10,0,30,0,99.38,99.38,2.28,4.69,9.17,10,40,50,10,0,30,0,99.38,99.38,2.28
Sri Lanka,United Kingdom,2010,Import,Fuels,644.24,0.24,5.81,1.42,23,34.78,56.52,8.7,0,30,0,60.52,83.77,560.48,5.81,1.42,23,34.78,56.52,8.7,0,30,0,60.52,83.77,560.48
Sri Lanka,Greece,2010,Import,Fuels,1.49,0.31,15,15,1,100,0,0,0,15,15,0,1.49,0,15,15,1,100,0,0,0,15,15,0,1.49,0
Sri Lanka,"Hong Kong, China",2010,Import,Fuels,432.18,0.07,4.88,7.72,14,35.71,57.14,7.14,0,30,0,241.54,313,119.18,4.88,7.72,14,35.71,57.14,7.14,0,30,0,241.54,313,119.18
Sri Lanka,Indonesia,2010,Import,Fuels,14.12,0.01,9.38,9.38,9,44.44,44.44,11.11,0,30,0,14.12,14.12,0,9.38,9.38,9,44.44,44.44,11.11,0,30,0,14.12,14.12,0
