"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,,
,,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,,
,,,
Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
12/31/1971,26.0118,,
12/31/1972,30.4914,4.48,
12/31/1973,31.1053,0.61,
12/31/1974,26.3457,-4.76,
12/31/1975,24.068,-2.28,
12/31/1976,23.534,-0.53,
12/31/1977,25.4001,1.87,
12/31/1978,27.408,2.01,
12/31/1979,28.803,1.4,
12/31/1980,29.2333,0.43,
12/31/1981,28.6468,-0.59,
12/31/1982,30.5758,1.93,
12/31/1983,30.9162,0.34,
12/31/1984,26.8058,-4.11,
12/31/1985,24.7407,-2.07,
12/31/1986,24.5086,-0.23,
12/31/1987,26.1212,1.61,
12/31/1988,24.7436,-1.38,
12/31/1989,23.557,-1.19,
12/31/1990,24.1136,0.56,
12/31/1991,25.1337,1.02,
12/31/1992,24.7973,-0.34,
12/31/1993,29.8052,5.01,
12/31/1994,31.6984,1.89,
12/31/1995,33.0638,1.37,
12/31/1996,37.5515,4.49,
12/31/1997,37.6768,0.13,
12/31/1998,38.9274,1.25,
12/31/1999,39.837,0.91,
12/31/2000,43.0246,3.19,
12/31/2001,43.3564,0.33,
12/31/2002,44.5877,1.23,
12/31/2003,46.3719,1.78,
12/31/2004,45.7969,-0.57,
12/31/2005,45.2938,-0.5,
12/31/2006,43.4398,-1.85,
12/31/2007,45.3881,1.95,
12/31/2008,44.8627,-0.53,
12/31/2009,43.5587,-1.3,
12/31/2010,43.0877,-0.47,
12/31/2011,48.8402,5.75,
12/31/2012,47.312,-1.53,
12/31/2013,45.8742,-1.44,
12/31/2014,50.5456,4.67,
