date,fuel_consumption,petroleum_imports_crudeOil,Taxes_on_Customs_and_Other_Import Duties ,Foreign Direct Investments,GDP Goods and Services,New Vehicle Registrations,Vehicle Sales,Vehicle Sales Asia,No.of Vessels Colombo,Imports of Refined Products,Tax income profits_gains,Tax Goods & Services,Tax Road Transport,GDP FCE Households,Diesel User Price,Petrol User Price,Consumption_Oil,Sales 90 Octane,Sales 95 Octane,Sales Auto Diesel
12/28/2009,0.838,18.71153846,12.85438004,0.017547624,,5251,96.15384615,38.46153846,70.8,23.11538462,2683.807692,0.124079398,0.234230769,,0.0425,0.078846154,1.748348594,9.961538462,0.423076923,38.17307692
1/4/2010,0.829,20.46153846,8.85316455,0.016866666,32132.09528,4772.5,57.69230769,19.23076923,83.75,37.78846154,2608.125,0.127586324,0.828076923,84537.95313,0.040769231,0.069423077,1.760117086,11.01923077,0.423076923,39.05660377
1/11/2010,0.829,20.46153846,8.85316455,0.016866666,32132.09528,4772.5,57.69230769,19.23076923,83.75,37.78846154,2608.125,0.127586324,0.828076923,84537.95313,0.040769231,0.069423077,1.760117086,11.01923077,0.423076923,39.05660377
1/18/2010,0.829,20.46153846,8.85316455,0.016866666,32132.09528,4772.5,57.69230769,19.23076923,83.75,37.78846154,2608.125,0.127586324,0.828076923,84537.95313,0.040769231,0.069423077,1.760117086,11.01923077,0.423076923,39.05660377
1/25/2010,0.829,20.46153846,8.85316455,0.016866666,32132.09528,4772.5,57.69230769,19.23076923,83.75,37.78846154,2608.125,0.127586324,0.828076923,84537.95313,0.040769231,0.069423077,1.760117086,11.01923077,0.423076923,39.05660377
2/1/2010,0.829,20.46153846,8.85316455,0.016866666,32132.09528,6165.5,57.69230769,19.23076923,71,37.78846154,2608.125,0.127586324,0.828076923,84537.95313,0.040769231,0.069423077,1.760117086,11.01923077,0.423076923,39.05660377
2/8/2010,0.829,20.46153846,8.85316455,0.016866666,32132.09528,6165.5,57.69230769,19.23076923,71,37.78846154,2608.125,0.127586324,0.828076923,84537.95313,0.040769231,0.069423077,1.760117086,11.01923077,0.423076923,39.05660377
2/15/2010,0.829,20.46153846,8.85316455,0.016866666,32132.09528,6165.5,57.69230769,19.23076923,71,37.78846154,2608.125,0.127586324,0.828076923,84537.95313,0.040769231,0.069423077,1.760117086,11.01923077,0.423076923,39.05660377
2/22/2010,0.829,20.46153846,8.85316455,0.016866666,32132.09528,6165.5,57.69230769,19.23076923,71,37.78846154,2608.125,0.127586324,0.828076923,84537.95313,0.040769231,0.069423077,1.760117086,11.01923077,0.423076923,39.05660377
3/1/2010,0.829,20.46153846,8.85316455,0.016866666,32132.09528,5925.8,57.69230769,19.23076923,71,37.78846154,2608.125,0.127586324,0.828076923,84537.95313,0.040769231,0.069423077,1.760117086,11.01923077,0.423076923,39.05660377
3/8/2010,0.829,20.46153846,8.85316455,0.016866666,32132.09528,5925.8,57.69230769,19.23076923,80.5,37.78846154,2608.125,0.127586324,0.828076923,84537.95313,0.040769231,0.069423077,1.760117086,11.01923077,0.423076923,39.05660377
3/15/2010,0.829,20.46153846,8.85316455,0.016866666,32132.09528,5925.8,57.69230769,19.23076923,80.5,37.78846154,2608.125,0.127586324,0.828076923,84537.95313,0.040769231,0.069423077,1.760117086,11.01923077,0.423076923,39.05660377
3/22/2010,0.829,20.46153846,8.85316455,0.016866666,32132.09528,5925.8,57.69230769,19.23076923,80.5,37.78846154,2608.125,0.127586324,0.828076923,84537.95313,0.040769231,0.069423077,1.760117086,11.01923077,0.423076923,39.05660377
3/29/2010,0.829,20.46153846,8.85316455,0.016866666,32132.09528,5925.8,57.69230769,19.23076923,80.5,37.78846154,2608.125,0.127586324,0.828076923,84537.95313,0.040769231,0.069423077,1.760117086,11.01923077,0.423076923,39.05660377
4/5/2010,0.829,20.46153846,8.85316455,0.016866666,31635.44237,5637,57.69230769,19.23076923,94.5,37.78846154,2608.125,0.127586324,0.828076923,81078.58748,0.040769231,0.069423077,1.760117086,11.01923077,0.423076923,39.05660377
4/12/2010,0.829,20.46153846,8.85316455,0.016866666,31635.44237,5637,57.69230769,19.23076923,94.5,37.78846154,2608.125,0.127586324,0.828076923,81078.58748,0.040769231,0.069423077,1.760117086,11.01923077,0.423076923,39.05660377
4/19/2010,0.829,20.46153846,8.85316455,0.016866666,31635.44237,5637,57.69230769,19.23076923,94.5,37.78846154,2608.125,0.127586324,0.828076923,81078.58748,0.040769231,0.069423077,1.760117086,11.01923077,0.423076923,39.05660377
4/26/2010,0.829,20.46153846,8.85316455,0.016866666,31635.44237,5637,57.69230769,19.23076923,94.5,37.78846154,2608.125,0.127586324,0.828076923,81078.58748,0.040769231,0.069423077,1.760117086,11.01923077,0.423076923,39.05660377
5/3/2010,0.829,20.46153846,8.85316455,0.016866666,31635.44237,5068,57.69230769,19.23076923,94.5,37.78846154,2608.125,0.127586324,0.828076923,81078.58748,0.040769231,0.069423077,1.760117086,11.01923077,0.423076923,39.05660377
5/10/2010,0.829,20.46153846,8.85316455,0.016866666,31635.44237,5068,57.69230769,19.23076923,94.5,37.78846154,2608.125,0.127586324,0.828076923,81078.58748,0.040769231,0.069423077,1.760117086,11.01923077,0.423076923,39.05660377
5/17/2010,0.829,20.46153846,8.85316455,0.016866666,31635.44237,5068,57.69230769,19.23076923,94.5,37.78846154,2608.125,0.127586324,0.828076923,81078.58748,0.040769231,0.069423077,1.760117086,11.01923077,0.423076923,39.05660377
