Date,fuel_consumption,petroleum_imports_crudeOil,Taxes_on_Customs_and_Other_Import Duties ,New Vehicle Registrations,No.of Vessels Colombo,Imports of Refined Products,Tax income profits_gains,Tax Goods & Services,Diesel User Price,Petrol User Price,Consumption: Oil: Asia Pacific: Sri Lanka,Sales 90 Octane,Sales 95 Octane,Sales Auto Diesel
1/3/2000,0.827,9.557692308,13.14202377,1465.2,76.5,6.211538462,528.0192308,0.23451077,0.027692308,0.078846154,1.449714556,4.230769231,0.076923077,31.60377358
1/10/2000,0.827,9.557692308,13.14202377,1465.2,76.5,6.211538462,528.0192308,0.23451077,0.027692308,0.078846154,1.449714556,4.230769231,0.076923077,33.23076923
1/17/2000,0.827,9.557692308,13.14202377,1465.2,76.5,6.211538462,528.0192308,0.23451077,0.027692308,0.078846154,1.449714556,4.230769231,0.076923077,33.23076923
1/24/2000,0.827,9.557692308,13.14202377,1465.2,76.5,6.211538462,528.0192308,0.23451077,0.027692308,0.078846154,1.449714556,4.230769231,0.076923077,33.23076923
1/31/2000,0.827,9.557692308,13.14202377,1465.2,70,6.211538462,528.0192308,0.23451077,0.027692308,0.078846154,1.449714556,4.230769231,0.076923077,33.23076923
2/7/2000,0.827,9.557692308,13.14202377,1917,70,6.211538462,528.0192308,0.23451077,0.027692308,0.078846154,1.449714556,4.230769231,0.076923077,33.23076923
2/14/2000,0.827,9.557692308,13.14202377,1917,70,6.211538462,528.0192308,0.23451077,0.027692308,0.078846154,1.449714556,4.230769231,0.076923077,33.23076923
2/21/2000,0.827,9.557692308,13.14202377,1917,70,6.211538462,528.0192308,0.23451077,0.027692308,0.078846154,1.449714556,4.230769231,0.076923077,33.23076923
2/28/2000,0.827,9.557692308,13.14202377,1917,70,6.211538462,528.0192308,0.23451077,0.027692308,0.078846154,1.449714556,4.230769231,0.076923077,33.23076923
3/6/2000,0.827,9.557692308,13.14202377,2187.25,83.75,6.211538462,528.0192308,0.23451077,0.027692308,0.078846154,1.449714556,4.230769231,0.076923077,33.23076923
3/13/2000,0.827,9.557692308,13.14202377,2187.25,83.75,6.211538462,528.0192308,0.23451077,0.027692308,0.078846154,1.449714556,4.230769231,0.076923077,33.23076923
3/20/2000,0.827,9.557692308,13.14202377,2187.25,83.75,6.211538462,528.0192308,0.23451077,0.027692308,0.078846154,1.449714556,4.230769231,0.076923077,33.23076923
3/27/2000,0.827,9.557692308,13.14202377,2187.25,83.75,6.211538462,528.0192308,0.23451077,0.027692308,0.078846154,1.449714556,4.230769231,0.076923077,33.23076923
4/3/2000,0.827,9.557692308,13.14202377,1465.5,84.25,6.211538462,528.0192308,0.23451077,0.027692308,0.078846154,1.449714556,4.230769231,0.076923077,33.23076923
4/10/2000,0.827,9.557692308,13.14202377,1465.5,84.25,6.211538462,528.0192308,0.23451077,0.027692308,0.078846154,1.449714556,4.230769231,0.076923077,33.23076923
4/17/2000,0.827,9.557692308,13.14202377,1465.5,84.25,6.211538462,528.0192308,0.23451077,0.027692308,0.078846154,1.449714556,4.230769231,0.076923077,33.23076923
4/24/2000,0.827,9.557692308,13.14202377,1465.5,84.25,6.211538462,528.0192308,0.23451077,0.027692308,0.078846154,1.449714556,4.230769231,0.076923077,33.23076923
5/1/2000,0.827,9.557692308,13.14202377,1530,68.8,6.211538462,528.0192308,0.23451077,0.027692308,0.078846154,1.449714556,4.230769231,0.076923077,33.23076923
5/8/2000,0.827,9.557692308,13.14202377,1530,68.8,6.211538462,528.0192308,0.23451077,0.027692308,0.078846154,1.449714556,4.230769231,0.076923077,33.23076923
5/15/2000,0.827,9.557692308,13.14202377,1530,68.8,6.211538462,528.0192308,0.23451077,0.027692308,0.078846154,1.449714556,4.230769231,0.076923077,33.23076923
5/22/2000,0.827,9.557692308,13.14202377,1530,68.8,6.211538462,528.0192308,0.23451077,0.027692308,0.078846154,1.449714556,4.230769231,0.076923077,33.23076923
5/29/2000,0.827,9.557692308,13.14202377,1530,68.8,6.211538462,528.0192308,0.23451077,0.027692308,0.078846154,1.449714556,4.230769231,0.076923077,33.23076923
6/5/2000,0.827,9.557692308,13.14202377,2130,88,6.211538462,528.0192308,0.23451077,0.027692308,0.078846154,1.449714556,4.230769231,0.076923077,33.23076923
6/12/2000,0.827,9.557692308,13.14202377,2130,88,6.211538462,528.0192308,0.23451077,0.027692308,0.078846154,1.449714556,4.230769231,0.076923077,33.23076923
6/19/2000,0.827,9.557692308,13.14202377,2130,88,6.211538462,528.0192308,0.23451077,0.027692308,0.078846154,1.449714556,4.230769231,0.076923077,33.23076923
6/26/2000,0.827,9.557692308,13.14202377,2130,88,6.211538462,528.0192308,0.23451077,0.027692308,0.078846154,1.449714556,4.230769231,0.076923077,33.23076923
7/3/2000,0.827,9.557692308,13.14202377,1651.2,86.75,6.211538462,528.0192308,0.23451077,0.027692308,0.078846154,1.449714556,4.230769231,0.076923077,33.23076923
7/10/2000,0.827,9.557692308,13.14202377,1651.2,86.75,6.211538462,528.0192308,0.23451077,0.027692308,0.078846154,1.449714556,4.230769231,0.076923077,33.23076923
7/17/2000,0.827,9.557692308,13.14202377,1651.2,86.75,6.211538462,528.0192308,0.23451077,0.027692308,0.078846154,1.449714556,4.230769231,0.076923077,33.23076923
7/24/2000,0.827,9.557692308,13.14202377,1651.2,86.75,6.211538462,528.0192308,0.23451077,0.027692308,0.078846154,1.449714556,4.230769231,0.076923077,33.23076923
7/31/2000,0.827,9.557692308,13.14202377,1651.2,66.4,6.211538462,528.0192308,0.23451077,0.027692308,0.078846154,1.449714556,4.230769231,0.076923077,33.23076923
8/7/2000,0.827,9.557692308,13.14202377,1785.75,66.4,6.211538462,528.0192308,0.23451077,0.027692308,0.078846154,1.449714556,4.230769231,0.076923077,33.23076923
8/14/2000,0.827,9.557692308,13.14202377,1785.75,66.4,6.211538462,528.0192308,0.23451077,0.027692308,0.078846154,1.449714556,4.230769231,0.076923077,33.23076923
8/21/2000,0.827,9.557692308,13.14202377,1785.75,66.4,6.211538462,528.0192308,0.23451077,0.027692308,0.078846154,1.449714556,4.230769231,0.076923077,33.23076923
8/28/2000,0.827,9.557692308,13.14202377,1785.75,66.4,6.211538462,528.0192308,0.23451077,0.027692308,0.078846154,1.449714556,4.230769231,0.076923077,33.23076923
9/4/2000,0.827,9.557692308,13.14202377,2841.75,69.5,6.211538462,528.0192308,0.23451077,0.027692308,0.078846154,1.449714556,4.230769231,0.076923077,33.23076923
9/11/2000,0.827,9.557692308,13.14202377,2841.75,69.5,6.211538462,528.0192308,0.23451077,0.027692308,0.078846154,1.449714556,4.230769231,0.076923077,33.23076923
9/18/2000,0.827,9.557692308,13.14202377,2841.75,69.5,6.211538462,528.0192308,0.23451077,0.027692308,0.078846154,1.449714556,4.230769231,0.076923077,33.23076923
9/25/2000,0.827,9.557692308,13.14202377,2841.75,69.5,6.211538462,528.0192308,0.23451077,0.027692308,0.078846154,1.449714556,4.230769231,0.076923077,33.23076923
10/2/2000,0.827,9.557692308,13.14202377,1244.8,74.25,6.211538462,528.0192308,0.23451077,0.027692308,0.078846154,1.449714556,4.230769231,0.076923077,33.23076923
10/9/2000,0.827,9.557692308,13.14202377,1244.8,74.25,6.211538462,528.0192308,0.23451077,0.027692308,0.078846154,1.449714556,4.230769231,0.076923077,33.23076923
10/16/2000,0.827,9.557692308,13.14202377,1244.8,74.25,6.211538462,528.0192308,0.23451077,0.027692308,0.078846154,1.449714556,4.230769231,0.076923077,33.23076923
10/23/2000,0.827,9.557692308,13.14202377,1244.8,74.25,6.211538462,528.0192308,0.23451077,0.027692308,0.078846154,1.449714556,4.230769231,0.076923077,33.23076923
10/30/2000,0.827,9.557692308,13.14202377,1244.8,62.8,6.211538462,528.0192308,0.23451077,0.027692308,0.078846154,1.449714556,4.230769231,0.076923077,33.23076923
11/6/2000,0.827,9.557692308,13.14202377,1868.75,62.8,6.211538462,528.0192308,0.23451077,0.027692308,0.078846154,1.449714556,4.230769231,0.076923077,33.23076923
11/13/2000,0.827,9.557692308,13.14202377,1868.75,62.8,6.211538462,528.0192308,0.23451077,0.027692308,0.078846154,1.449714556,4.230769231,0.076923077,33.23076923
