filename,acts_count,rescinded_flag,special_case_weight,impact,most_relevant_money,most_relevant_percent,fuel_related_flag,effective_date
2-2009_text.txt,4,1,0,0,2711.19,5,1,Jan-09
3-2009_text.txt,4,1,0,0,160817,5,1,
4-2009_text.txt,4,1,0,0,2711.19,5,1,
5-2009_text.txt,4,1,0,0,2711.19,5,1,
Cess-Gazat-en-2010-05-31_text.txt,2,1,6,1,20102,100,1,May-10
Excise-(Sp.Pro)-Act-No-13-1989-1680-22-dated-19.11.2010_text.txt,10,1,16,1,8703.32,30,1,Apr-07
Excise-(Sp.Pro)-Act-No-13-1989-1681-5-dated-22.11.2010_text.txt,5,1,6,1,380000,138,1,
Excise-(Sp.Pro)-Act-No-13-of-1989-1684-28-dated-15.12.2010_text.txt,3,0,0,0,2711.19,,1,
Excise-Sp-Pro-Act-No-13-of-1989-1643-01-date-2010.03.01_text.txt,3,0,0,0,2711.19,5,1,
Export-Development-Act-No-40-of-1979-1680-25-dated-19.11.2010_text.txt,2,1,6,1,20102,100,1,
1702_19-20(E)_text.txt,4,1,3,0,144514,138,1,
1703-01-20(E)_text.txt,2,0,3,1,2011,,0,Apr-11
1706_03-20(E)_text.txt,2,0,3,0,14578,138,1,
1708_21-20(E)_text.txt,11,1,18,1,8703.32,30,1,
1733_1_E_text.txt,4,1,3,0,367500,138,1,
ImportCess-eng_text.txt,2,1,6,1,20112,100,1,
1747-01-E_text.txt,11,1,18,1,8703.32,50,1,Jan-12
1751-28E_text.txt,2,0,3,0,1585810,173,1,
1757-03-E_text.txt,3,0,5,1,2012,2,0,Mar-12
Excise20121109_text.txt,4,1,3,0,14488,173,1,Nov-12
pal20121109_text.txt,3,0,3,1,9405.5,2.5,0,Dec-11
sclChanges20121109_text.txt,2,1,3,0,9011,,1,Nov-12
2013-1-15_text.txt,9,1,18,1,8703.32,60,1,
2013-1-22 x_text.txt,0,0,0,1,4107.99,2.5,0,Mar-13
2013-1-9 x_text.txt,1,0,2,1,2013,,0,Jan-13
2013-11-20_text.txt,1,0,0,1,18474,,1,Nov-13
2013-11-21 x_text.txt,0,0,0,-1,2014,,0,Nov-13
2013-11-26_text.txt,1,0,1,1,18524,,0,Nov-13
2013-12-27_text.txt,0,0,3,0,2014,,0,Dec-13
2013-4-3 x_text.txt,3,1,3,0,20000,,0,Apr-13
2013-5-10 x_text.txt,1,0,0,0,2013,,0,
2013-5-31 x_text.txt,0,0,0,-1,2013,,0,May-13
2013-7-11_text.txt,3,0,3,1,2013,65,0,Mar-13
2013-7-29 x_text.txt,3,1,0,0,2013,5,0,
2013-8-12_text.txt,3,0,0,0,17276,,0,
2013-9-17_text.txt,2,0,5,1,17556,50,0,Jan-13
2014-1-20 x_text.txt,3,1,3,0,20000,,0,Jan-14
2014-1-21_text.txt,2,0,3,0,150000,76,1,
2014-10-22_text.txt,3,1,0,1,22114,100,0,Oct-14
2014-10-24_text.txt,0,0,0,-1,2015,,0,Oct-14
2014-10-9 x_text.txt,3,1,3,0,20000,201,0,Oct-14
