Date,Price,Open,High,Low,Vol.,Change %
1990-01-02,40.02,40.02,40.02,40.02,,0.00%
1990-01-03,40.02,40.02,40.02,40.02,,0.00%
1990-01-06,40.02,40.02,40.02,40.02,,-0.25%
1990-01-10,40.08,40.08,40.08,40.08,,0.17%
1990-01-11,40.39,40.39,40.39,40.39,,-0.02%
1990-02-01,40.02,40.02,40.02,40.02,,0.00%
1990-02-02,40.02,40.02,40.02,40.02,,0.00%
1990-02-03,40.02,40.02,40.02,40.02,,0.00%
1990-02-04,40.02,40.02,40.02,40.02,,0.00%
1990-02-05,40.02,40.02,40.02,40.02,,0.00%
1990-02-07,40.02,40.02,40.02,40.02,,0.00%
1990-02-08,40.02,40.02,40.02,40.02,,0.00%
1990-02-10,40.08,40.08,40.08,40.08,,0.00%
1990-02-11,40.39,40.39,40.39,40.39,,0.00%
1990-03-01,40.02,40.02,40.02,40.02,,0.00%
1990-03-04,40.02,40.02,40.02,40.02,,0.00%
1990-03-05,40.02,40.02,40.02,40.02,,0.00%
1990-03-07,40.02,40.02,40.02,40.02,,0.00%
1990-03-08,40.02,40.02,40.02,40.02,,0.00%
1990-03-12,40.3,40.3,40.3,40.3,,-0.02%
1990-04-01,40.02,40.02,40.02,40.02,,0.00%
1990-04-04,40.02,40.02,40.02,40.02,,0.00%
1990-04-05,40.02,40.02,40.02,40.02,,0.00%
1990-04-06,40.02,40.02,40.02,40.02,,0.00%
1990-04-09,39.95,39.95,39.95,39.95,,0.03%
1990-04-10,40.02,40.02,40.02,40.02,,-0.15%
1990-04-12,40.29,40.29,40.29,40.29,,-0.02%
1990-05-01,40.02,40.02,40.02,40.02,,0.00%
1990-05-02,40.02,40.02,40.02,40.02,,0.00%
1990-05-03,40.02,40.02,40.02,40.02,,0.00%
1990-05-04,40.02,40.02,40.02,40.02,,0.00%
1990-05-06,40.02,40.02,40.02,40.02,,0.00%
1990-05-07,40.02,40.02,40.02,40.02,,0.00%
1990-05-09,39.94,39.94,39.94,39.94,,-0.03%
