Date,central_bank_total_assets ,currency_in_circulation,gov_deposits_with_cb ,srr_commercial_bank_deposits,reserve_money,narrow_money_m1,broad_money_m2,broad_money_m2b,quasi_money_public,net_foreign_assets,credit_to_government_net, credit_to_public_corporations,credit_to_private_sector,total_domestic_credit,broad_money_m4,net_credit_to_gov_central_bank,net_credit_to_gov_commercial_total,net_credit_to_gov_commercial_dbu,net_credit_to_gov_commercial_obu,credit_to_sobes_dbu,credit_to_sobes_obu,credit_to_private_dbu,credit_to_private_obu,m2b_other_items_net,nfa_monetary_authorities,nfa_commercial_banks_total,nfa_commercial_banks_dbu,nfa_commercial_banks_obu,reserve_money_yoy_pct,narrow_money_m1_yoy_pct,broad_money_m2_yoy_pct ,broad_money_m2b_yoy_pct,money_supply_foreign_assets_yoy_pct ,nfa_monetary_authorities_yoy_pct,nfa_commercial_banks_total_yoy_pct ,nfa_commercial_banks_dbu_yoy_pct,nfa_commercial_banks_obu_yoy_pct,net_domestic_assets_yoy_pct ,net_credit_to_gov_yoy_pct,net_credit_to_gov_cb_yoy_pct,net_credit_to_gov_commercial_total_yoy_pct,net_credit_to_gov_commercial_dbu_yoy_pct,net_credit_to_gov_commercial_obu_yoy_pct,credit_to_public_corporations_yoy_pct,credit_to_sobes_dbu_yoy_pct,credit_to_sobes_obu_yoy_pct,credit_to_private_sector_yoy_pct,credit_to_private_dbu_yoy_pct,credit_to_private_obu_yoy_pct,m2b_other_items_net_yoy_pct
2009-01-01,529546.65,177969.94,12.9,85786.75,263769.59,265614.68,1288163.0,1528254.1,1262639.42,47362.25,636953.73,53744.65,1252951.69,1943650.07,1930444.48,924317.29,3833642.48,3395036.25,438606.23,611189.13,446937.73,5756202.84,440410.08,-2158920.76,417927.42,-739009.68,-476046.43,-262963.24,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8
2009-02-01,573752.49,179937.99,13.41,78145.55,258096.95,265635.7,1304602.0,1546513.07,1280877.38,52691.22,672645.98,53993.09,1246044.51,1972683.57,1952574.75,924317.29,3833642.48,3395036.25,438606.23,611189.13,446937.73,5756202.84,440410.08,-2158920.76,417927.42,-739009.68,-476046.43,-262963.24,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8
2009-03-01,562520.16,192707.88,13.02,73630.06,266350.96,272880.71,1324704.0,1581580.31,1308699.6,62369.04,705008.27,52637.98,1233029.03,1990675.28,1986152.43,924317.29,3833642.48,3395036.25,438606.23,611189.13,446937.73,5756202.84,440410.08,-2158920.76,417927.42,-739009.68,-476046.43,-262963.24,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8
2009-04-01,561365.34,191341.9,12.87,69821.81,261176.58,270623.43,1343535.0,1605134.93,1334511.5,72228.33,746008.34,55207.06,1221333.86,2022549.27,2014861.28,924317.29,3833642.48,3395036.25,438606.23,611189.13,446937.73,5756202.84,440410.08,-2158920.76,417927.42,-739009.68,-476046.43,-262963.24,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8
2009-05-01,563118.12,189939.25,13.11,78650.73,268603.09,271729.8,1360260.0,1624257.29,1352527.49,107750.44,742870.87,53301.11,1206158.6,2002330.59,2035862.8,924317.29,3833642.48,3395036.25,438606.23,611189.13,446937.73,5756202.84,440410.08,-2158920.76,417927.42,-739009.68,-476046.43,-262963.24,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8
2009-06-01,577197.11,185341.21,13.75,77205.99,262560.94,268942.57,1380978.0,1645776.35,1376833.78,123919.34,772742.59,46162.96,1194026.71,2012932.26,2065273.76,924317.29,3833642.48,3395036.25,438606.23,611189.13,446937.73,5756202.84,440410.08,-2158920.76,417927.42,-739009.68,-476046.43,-262963.24,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8
2009-07-01,616551.29,187713.6,18.36,87859.52,275591.48,277090.15,1411698.0,1683066.43,1405976.28,166780.41,780684.17,44032.34,1185546.44,2010262.94,2105677.59,924317.29,3833642.48,3395036.25,438606.23,611189.13,446937.73,5756202.84,440410.08,-2158920.76,417927.42,-739009.68,-476046.43,-262963.24,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8
2009-08-01,715205.42,192017.55,14.81,84564.47,276596.83,285505.06,1435550.0,1702948.43,1417443.37,274186.39,712337.72,36132.06,1175514.85,1923984.64,2132913.29,924317.29,3833642.48,3395036.25,438606.23,611189.13,446937.73,5756202.84,440410.08,-2158920.76,417927.42,-739009.68,-476046.43,-262963.24,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8
2009-09-01,747979.31,192070.85,14.0,82436.47,274521.32,293274.58,1461339.0,1736019.7,1442745.13,323862.81,648919.45,70389.92,1179151.82,1898461.19,2184494.51,924317.29,3833642.48,3395036.25,438606.23,611189.13,446937.73,5756202.84,440410.08,-2158920.76,417927.42,-739009.68,-476046.43,-262963.24,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8
2009-10-01,814505.96,197216.7,16.62,91597.17,288830.49,294541.5,1461345.0,1755399.48,1460857.97,427758.68,606657.29,70649.04,1174668.77,1851975.1,2211573.19,924317.29,3833642.48,3395036.25,438606.23,611189.13,446937.73,5756202.84,440410.08,-2158920.76,417927.42,-739009.68,-476046.43,-262963.24,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8
2009-11-01,844945.4,200620.78,16.56,87526.63,288163.97,313531.4,1497004.0,1770460.23,1456928.83,413824.71,605326.9,73447.24,1185649.65,1864423.79,2237941.3,924317.29,3833642.48,3395036.25,438606.23,611189.13,446937.73,5756202.84,440410.08,-2158920.76,417927.42,-739009.68,-476046.43,-262963.24,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8
2009-12-01,821872.76,217429.83,21.6,86085.87,303537.3,336710.04,1536755.0,1806168.93,1469458.89,401879.65,640326.36,73232.89,1194188.66,1907747.91,2279975.15,924317.29,3833642.48,3395036.25,438606.23,611189.13,446937.73,5756202.84,440410.08,-2158920.76,417927.42,-739009.68,-476046.43,-262963.24,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8
2010-01-01,875825.4,221237.51,26.47,87925.84,309189.82,339755.41,1551744.07,1800605.93,1460850.52,377293.78,657823.61,76319.02,1194805.99,1928948.62,2282594.84,924317.29,3833642.48,3395036.25,438606.23,611189.13,446937.73,5756202.84,440410.08,-2158920.76,417927.42,-739009.68,-476046.43,-262963.24,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8
2010-02-01,931305.76,221149.29,45.58,89613.67,310808.54,340895.84,1565386.8,1814776.3,1473880.46,355697.28,669955.58,90092.15,1211159.38,1971207.11,2300205.0,924317.29,3833642.48,3395036.25,438606.23,611189.13,446937.73,5756202.84,440410.08,-2158920.76,417927.42,-739009.68,-476046.43,-262963.24,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8
2010-03-01,834022.44,240246.38,45.37,88560.97,328852.72,362751.75,1600964.03,1851671.37,1488919.62,362346.24,656725.72,96932.41,1233554.6,1987212.73,2342678.69,924317.29,3833642.48,3395036.25,438606.23,611189.13,446937.73,5756202.84,440410.08,-2158920.76,417927.42,-739009.68,-476046.43,-262963.24,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8
2010-04-01,885454.37,244645.78,48.15,80310.81,325004.74,351919.62,1603309.53,1868861.99,1516942.37,364191.48,655566.03,106056.08,1240613.72,2002235.83,2364080.15,924317.29,3833642.48,3395036.25,438606.23,611189.13,446937.73,5756202.84,440410.08,-2158920.76,417927.42,-739009.68,-476046.43,-262963.24,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8
