Date,diesel_price,formula_price_with_tax,formula_price_without_tax,brent_price_with_tax,brent_price_without_tax
2020-01-01,104.0,102.99,88.85,95.98,82.29
2020-02-01,104.0,110.07,95.48,96.04,82.36
2020-03-01,104.0,110.76,82.23,99.64,71.83
2020-04-01,104.0,117.65,58.6,104.96,46.73
2020-05-01,104.0,98.56,40.75,94.45,36.9
2020-06-01,104.0,71.62,44.55,71.39,44.33
2020-07-01,104.0,87.44,59.34,82.39,54.62
2020-08-01,104.0,92.99,64.54,85.71,57.73
2020-09-01,104.0,90.7,63.32,87.03,59.89
2020-10-01,104.0,83.82,56.89,82.62,55.77
2020-11-01,104.0,88.76,56.84,87.21,55.39
2020-12-01,104.0,92.81,60.63,90.0,57.99
2021-01-01,104.0,87.78,71.82,82.83,67.19
2021-02-01,104.0,101.07,78.64,96.68,74.53
2021-03-01,104.0,101.49,89.32,96.22,84.39
2021-04-01,104.0,107.74,95.17,103.92,91.59
2021-05-01,104.0,106.01,93.55,103.21,90.93
2021-06-01,111.0,113.76,100.8,108.76,96.12
2021-07-01,111.0,118.69,105.41,114.11,101.13
2021-08-01,111.0,120.93,107.51,116.04,102.93
2021-09-01,111.0,114.63,101.61,111.03,98.24
2021-10-01,111.0,125.65,111.92,119.6,106.26
2021-11-01,111.0,144.9,129.93,131.67,117.55
2021-12-01,121.0,145.48,130.47,130.47,116.43
2022-01-01,121.0,133.12,118.91,119.4,106.08
2022-02-01,121.0,151.99,136.56,134.44,120.15
2022-03-01,176.0,169.91,153.32,148.19,133.01
2022-04-01,289.0,265.67,242.9,224.74,204.61
2022-05-01,400.0,329.07,302.2,257.5,235.25
2022-06-01,460.0,389.14,358.39,304.13,278.87
2022-07-01,440.0,451.7,416.91,320.76,294.43
2022-08-01,430.0,374.23,344.44,289.77,265.43
2022-09-01,430.0,361.71,332.73,270.76,247.65
2022-10-01,415.0,333.56,306.4,253.11,231.15
2022-11-01,430.0,348.66,320.52,258.97,236.63
2022-12-01,420.0,326.7,299.98,253.43,231.45
2023-01-01,405.0,320.7,270.98,254.15,208.73
2023-02-01,405.0,324.65,274.68,260.28,214.47
2023-03-01,325.0,300.93,252.49,257.97,212.31
2023-04-01,325.0,266.02,219.84,226.54,182.91
2023-05-01,310.0,249.03,203.95,231.53,187.58
2023-06-01,310.0,247.18,178.83,233.56,166.09
2023-07-01,308.0,247.07,178.73,225.89,158.92
2023-08-01,306.0,281.53,210.96,254.19,185.39
2023-09-01,341.0,322.18,248.98,261.43,192.16
2023-10-01,351.0,335.67,261.6,278.14,207.79
2023-11-01,356.0,318.14,245.21,273.08,203.06
2023-12-01,329.0,300.53,228.73,258.72,189.62
2024-01-01,358.0,316.57,214.04,286.57,178.26
2024-02-01,362.83,317.26,214.63,286.62,178.3
2024-03-01,363.0,321.07,217.85,287.48,178.99
2024-04-01,363.0,311.27,209.57,290.76,181.61
2024-05-01,333.0,307.29,206.2,297.28,186.82
2024-06-01,317.0,290.06,191.63,282.84,175.28
2024-07-01,317.0,295.32,196.08,285.43,177.35
2024-08-01,317.0,298.05,198.38,288.05,179.44
2024-09-01,307.0,278.81,182.11,272.63,167.12
2024-10-01,283.0,260.82,166.89,258.15,155.55
2024-11-01,283.0,262.66,168.45,258.46,155.79
