Date,petrol_price,formula_price_with_tax_petrol,formula_price_without_tax_petrol,brent_price_with_tax_petrol,brent_price_without_tax_petrol,diesel_price,formula_price_with_tax_diesel,formula_price_without_tax_diesel,brent_price_with_tax_diesel,brent_price_without_tax_diesel,Price,Open,High,Low,Vol.,Change %,central_bank_total_assets ,currency_in_circulation,gov_deposits_with_cb ,srr_commercial_bank_deposits,reserve_money,narrow_money_m1,broad_money_m2,broad_money_m2b,quasi_money_public,net_foreign_assets,credit_to_government_net, credit_to_public_corporations,credit_to_private_sector,total_domestic_credit,broad_money_m4,net_credit_to_gov_central_bank,net_credit_to_gov_commercial_total,net_credit_to_gov_commercial_dbu,net_credit_to_gov_commercial_obu,credit_to_sobes_dbu,credit_to_sobes_obu,credit_to_private_dbu,credit_to_private_obu,m2b_other_items_net,nfa_monetary_authorities,nfa_commercial_banks_total,nfa_commercial_banks_dbu,nfa_commercial_banks_obu,reserve_money_yoy_pct,narrow_money_m1_yoy_pct,broad_money_m2_yoy_pct ,broad_money_m2b_yoy_pct,money_supply_foreign_assets_yoy_pct ,nfa_monetary_authorities_yoy_pct,nfa_commercial_banks_total_yoy_pct ,nfa_commercial_banks_dbu_yoy_pct,nfa_commercial_banks_obu_yoy_pct,net_domestic_assets_yoy_pct ,net_credit_to_gov_yoy_pct,net_credit_to_gov_cb_yoy_pct,net_credit_to_gov_commercial_total_yoy_pct,net_credit_to_gov_commercial_dbu_yoy_pct,net_credit_to_gov_commercial_obu_yoy_pct,credit_to_public_corporations_yoy_pct,credit_to_sobes_dbu_yoy_pct,credit_to_sobes_obu_yoy_pct,credit_to_private_sector_yoy_pct,credit_to_private_dbu_yoy_pct,credit_to_private_obu_yoy_pct,m2b_other_items_net_yoy_pct,annual_cpi_inflation_rate,policy_rate,GDP_growth_imports,consumerprice_inflation,budget_surplus,treasury_bonds
2020-01-01,137.0,136.2,86.34,134.43,84.69,104.0,102.99,88.85,95.98,82.29,181.175,181.425,181.575,180.775,0.04K,-0.11%,1907948.48,668042.41,106.61,267408.96,935557.98,859031.95,7001065.79,7703776.44,6844744.49,89472.84,2916394.79,819982.51,5796718.06,9533095.37,9572899.1,924317.29,3833642.48,3395036.25,438606.23,611189.13,446937.73,5756202.84,440410.08,-2158920.76,417927.42,-739009.68,-476046.43,-262963.24,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8,3.528,6.5,-3.505,3.528393582,-1439088.0,4686526.0
2020-02-01,137.0,141.65,91.45,134.5,84.76,104.0,110.07,95.48,96.04,82.36,181.45,181.2,181.55,181.15,0.03K,0.15%,1997215.85,683736.9,106.01,279439.94,963282.84,866198.64,7081610.69,7793001.29,6926802.65,97383.28,2960041.66,832603.29,5821957.61,9614602.56,9676070.9,924317.29,3833642.48,3395036.25,438606.23,611189.13,446937.73,5756202.84,440410.08,-2158920.76,417927.42,-739009.68,-476046.43,-262963.24,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8,3.528,6.5,-3.505,3.528393582,-1439088.0,4686526.0
2020-03-01,137.0,146.09,83.43,136.06,74.04,104.0,110.76,82.23,99.64,71.83,181.3,181.4,181.45,181.25,0.04K,-0.08%,2062164.9,805190.35,107.18,208499.44,1013796.97,964755.96,7335947.77,8098249.11,7133493.15,28119.06,3235474.77,868288.97,5942096.78,10045860.51,9973229.96,924317.29,3833642.48,3395036.25,438606.23,611189.13,446937.73,5756202.84,440410.08,-2158920.76,417927.42,-739009.68,-476046.43,-262963.24,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8,3.528,6.25,-3.505,3.528393582,-1439088.0,4686526.0
2020-04-01,137.0,156.34,49.95,154.78,48.5,104.0,117.65,58.6,104.96,46.73,181.3,181.4,181.45,181.25,0.04K,-0.08%,2184112.18,821169.96,107.17,200312.31,1021589.44,992502.31,7466097.77,8258996.97,7266494.66,83492.91,3301332.23,933953.48,5955513.48,10190799.19,10160344.27,924317.29,3833642.48,3395036.25,438606.23,611189.13,446937.73,5756202.84,440410.08,-2158920.76,417927.42,-739009.68,-476046.43,-262963.24,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8,3.528,6.0,-3.505,3.528393582,-1439088.0,4686526.0
2020-05-01,137.0,134.89,29.87,144.14,38.52,104.0,98.56,40.75,94.45,36.9,181.3,181.4,181.45,181.25,0.04K,-0.08%,2078669.25,801183.64,106.57,195249.18,996539.39,991777.63,7523813.56,8293119.65,7301342.01,-48840.52,3464361.23,952593.96,5885942.98,10302898.18,10199388.77,924317.29,3833642.48,3395036.25,438606.23,611189.13,446937.73,5756202.84,440410.08,-2158920.76,417927.42,-739009.68,-476046.43,-262963.24,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8,3.528,5.5,-3.505,3.528393582,-1439088.0,4686526.0
2020-06-01,137.0,117.17,43.24,120.18,46.06,104.0,71.62,44.55,71.39,44.33,181.325,181.325,181.625,181.325,0.03K,0.01%,2012118.45,768941.03,106.05,99905.64,868952.72,1001850.71,7604127.2,8364748.22,7362897.51,-11704.89,3599386.03,951274.09,5832089.96,10382750.09,10261523.06,924317.29,3833642.48,3395036.25,438606.23,611189.13,446937.73,5756202.84,440410.08,-2158920.76,417927.42,-739009.68,-476046.43,-262963.24,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8,3.528,5.5,-3.505,3.528393582,-1439088.0,4686526.0
2020-07-01,137.0,133.76,58.77,131.36,56.53,104.0,87.44,59.34,82.39,54.62,181.275,181.375,181.475,181.225,0.04K,-0.03%,2143430.55,768385.18,112.97,110333.66,878831.81,1024589.3,7717772.25,8507393.15,7482803.85,-48898.8,3783572.62,982582.94,5827978.03,10594133.59,10431899.51,924317.29,3833642.48,3395036.25,438606.23,611189.13,446937.73,5756202.84,440410.08,-2158920.76,417927.42,-739009.68,-476046.43,-262963.24,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8,3.528,4.5,-3.505,3.528393582,-1439088.0,4686526.0
2020-08-01,137.0,136.84,61.66,134.74,59.7,104.0,92.99,64.54,85.71,57.73,181.6,181.3,181.7,181.3,0.04K,0.18%,2287528.41,767990.77,114.45,111723.2,879828.42,1058461.34,7858435.87,8692021.18,7633559.84,-19572.27,3834853.62,1022928.53,5906283.58,10764065.74,10637616.47,924317.29,3833642.48,3395036.25,438606.23,611189.13,446937.73,5756202.84,440410.08,-2158920.76,417927.42,-739009.68,-476046.43,-262963.24,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8,3.528,4.5,-3.505,3.528393582,-1439088.0,4686526.0
2020-09-01,137.0,134.53,64.18,132.09,61.9,104.0,90.7,63.32,87.03,59.89,181.35,181.4,181.5,181.15,0.03K,-0.14%,2599304.42,775333.93,31.16,116024.27,891389.36,1057364.0,8027070.19,8870429.94,7813065.95,-65886.11,3981981.32,1018271.44,5994421.57,10994674.33,10860274.47,924317.29,3833642.48,3395036.25,438606.23,611189.13,446937.73,5756202.84,440410.08,-2158920.76,417927.42,-739009.68,-476046.43,-262963.24,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8,3.528,4.5,-3.505,3.528393582,-1439088.0,4686526.0
2020-10-01,137.0,132.92,62.67,127.61,57.7,104.0,83.82,56.89,82.62,55.77,181.35,181.35,181.35,181.35,0.03K,0.00%,2318522.36,810746.26,58.48,117582.84,928387.58,1085734.29,8166460.98,9017479.98,7931745.69,-246578.47,4262995.14,1002991.15,6053617.98,11319604.27,11048662.29,924317.29,3833642.48,3395036.25,438606.23,611189.13,446937.73,5756202.84,440410.08,-2158920.76,417927.42,-739009.68,-476046.43,-262963.24,37.05,26.81,12.22,11.91,-278.63,-258.57,25.17,15.92,41.92,20.6,27.05,158.29,-4.59,-2.05,-24.29,12.61,67.14,-61.97,13.25,13.43,10.87,-9.8,3.528,4.5,-3.505,3.528393582,-1439088.0,4686526.0
