Date,petrol_price,formula_price_with_tax_petrol,formula_price_without_tax_petrol,brent_price_with_tax_petrol,brent_price_without_tax_petrol,diesel_price,formula_price_with_tax_diesel,formula_price_without_tax_diesel,brent_price_with_tax_diesel,brent_price_without_tax_diesel
2020-01-01,137.0,136.2,86.34,134.43,84.69,104.0,102.99,88.85,95.98,82.29
2020-02-01,137.0,141.65,91.45,134.5,84.76,104.0,110.07,95.48,96.04,82.36
2020-03-01,137.0,146.09,83.43,136.06,74.04,104.0,110.76,82.23,99.64,71.83
2020-04-01,137.0,156.34,49.95,154.78,48.5,104.0,117.65,58.6,104.96,46.73
2020-05-01,137.0,134.89,29.87,144.14,38.52,104.0,98.56,40.75,94.45,36.9
2020-06-01,137.0,117.17,43.24,120.18,46.06,104.0,71.62,44.55,71.39,44.33
2020-07-01,137.0,133.76,58.77,131.36,56.53,104.0,87.44,59.34,82.39,54.62
2020-08-01,137.0,136.84,61.66,134.74,59.7,104.0,92.99,64.54,85.71,57.73
2020-09-01,137.0,134.53,64.18,132.09,61.9,104.0,90.7,63.32,87.03,59.89
2020-10-01,137.0,132.92,62.67,127.61,57.7,104.0,83.82,56.89,82.62,55.77
2020-11-01,137.0,136.0,61.81,131.19,57.31,104.0,88.76,56.84,87.21,55.39
2020-12-01,137.0,135.77,61.59,134.03,59.96,104.0,92.81,60.63,90.0,57.99
2021-01-01,137.0,135.46,71.6,133.04,69.34,104.0,87.78,71.82,82.83,67.19
2021-02-01,137.0,134.79,81.28,130.04,76.83,104.0,101.07,78.64,96.68,74.53
2021-03-01,137.0,129.84,91.63,124.78,86.89,104.0,101.49,89.32,96.22,84.39
2021-04-01,137.0,141.08,102.15,132.63,94.24,104.0,107.74,95.17,103.92,91.59
2021-05-01,137.0,141.46,102.51,131.91,93.56,104.0,106.01,93.55,103.21,90.93
2021-06-01,157.0,146.63,107.35,137.57,98.86,111.0,113.76,100.8,108.76,96.12
2021-07-01,157.0,150.35,110.83,143.01,103.96,111.0,118.69,105.41,114.11,101.13
2021-08-01,157.0,152.88,113.2,144.97,105.8,111.0,120.93,107.51,116.04,102.93
2021-09-01,157.0,151.81,112.21,139.88,101.03,111.0,114.63,101.61,111.03,98.24
2021-10-01,157.0,159.15,119.08,148.6,109.2,111.0,125.65,111.92,119.6,106.26
2021-11-01,157.0,178.64,137.32,160.88,120.69,111.0,144.9,129.93,131.67,117.55
2021-12-01,177.0,178.45,137.15,159.66,119.55,121.0,145.48,130.47,130.47,116.43
2022-01-01,177.0,164.38,123.97,148.41,109.01,121.0,133.12,118.91,119.4,106.08
2022-02-01,177.0,180.39,138.97,163.71,123.34,121.0,151.99,136.56,134.44,120.15
2022-03-01,254.0,199.33,156.7,177.69,136.44,176.0,169.91,153.32,148.19,133.01
2022-04-01,338.0,284.09,236.08,255.83,209.62,289.0,265.67,242.9,224.74,204.61
2022-05-01,420.0,331.19,280.19,289.49,241.14,400.0,329.07,302.2,257.5,235.25
2022-06-01,470.0,416.19,359.8,337.14,285.76,460.0,389.14,358.39,304.13,278.87
2022-07-01,450.0,439.18,381.32,354.06,301.61,440.0,451.7,416.91,320.76,294.43
2022-08-01,450.0,354.27,301.8,322.53,272.08,430.0,374.23,344.44,289.77,265.43
2022-09-01,450.0,325.74,275.09,303.19,231.15,430.0,361.71,332.73,270.76,247.65
2022-10-01,370.0,292.54,243.99,285.25,237.17,415.0,333.56,306.4,253.11,231.15
2022-11-01,370.0,287.58,239.35,291.22,242.76,430.0,348.66,320.52,258.97,236.63
2022-12-01,370.0,290.85,242.41,285.58,237.48,420.0,326.7,299.98,253.43,231.45
2023-01-01,370.0,296.05,223.87,285.88,214.35,405.0,320.7,270.98,254.15,208.73
2023-02-01,400.0,322.66,248.79,292.11,220.18,405.0,324.65,274.68,260.28,214.47
2023-03-01,340.0,324.24,250.26,289.77,217.98,325.0,300.93,252.49,257.97,212.31
2023-04-01,340.0,294.4,222.32,257.62,187.88,325.0,266.02,219.84,226.54,182.91
2023-05-01,333.0,292.17,220.23,262.66,192.6,310.0,249.03,203.95,231.53,187.58
2023-06-01,318.0,286.43,191.45,264.23,170.66,310.0,247.18,178.83,233.56,166.09
2023-07-01,348.0,286.11,191.15,256.38,163.31,308.0,247.07,178.73,225.89,158.92
2023-08-01,348.0,310.63,214.11,285.27,190.36,306.0,281.53,210.96,254.19,185.39
2023-09-01,361.0,331.9,234.03,292.65,197.27,341.0,322.18,248.98,261.43,192.16
2023-10-01,365.0,340.79,242.35,309.64,213.19,351.0,335.67,261.6,278.14,207.79
2023-11-01,356.0,315.2,218.39,304.51,208.38,356.0,318.14,245.21,273.08,203.06
2024-01-01,366.0,340.76,205.09,314.88,183.13,358.0,316.57,214.04,286.57,178.26
2024-02-01,370.83,346.68,210.11,314.9,183.15,362.83,317.26,214.63,286.62,178.3
2024-03-01,371.0,352.48,215.02,315.68,183.81,363.0,321.07,217.85,287.48,178.99
2024-04-01,371.0,351.74,214.4,318.78,186.44,363.0,311.27,209.57,290.76,181.61
