Date,petrol_price,formula_price_with_tax,formula_price_without_tax,brent_price_with_tax,brent_price_without_tax
2020-01-01,137.0,136.2,86.34,134.43,84.69
2020-02-01,137.0,141.65,91.45,134.5,84.76
2020-03-01,137.0,146.09,83.43,136.06,74.04
2020-04-01,137.0,156.34,49.95,154.78,48.5
2020-05-01,137.0,134.89,29.87,144.14,38.52
2020-06-01,137.0,117.17,43.24,120.18,46.06
2020-07-01,137.0,133.76,58.77,131.36,56.53
2020-08-01,137.0,136.84,61.66,134.74,59.7
2020-09-01,137.0,134.53,64.18,132.09,61.9
2020-10-01,137.0,132.92,62.67,127.61,57.7
2020-11-01,137.0,136.0,61.81,131.19,57.31
2020-12-01,137.0,135.77,61.59,134.03,59.96
2021-01-01,137.0,135.46,71.6,133.04,69.34
2021-02-01,137.0,134.79,81.28,130.04,76.83
2021-03-01,137.0,129.84,91.63,124.78,86.89
2021-04-01,137.0,141.08,102.15,132.63,94.24
2021-05-01,137.0,141.46,102.51,131.91,93.56
2021-06-01,157.0,146.63,107.35,137.57,98.86
2021-07-01,157.0,150.35,110.83,143.01,103.96
2021-08-01,157.0,152.88,113.2,144.97,105.8
2021-09-01,157.0,151.81,112.21,139.88,101.03
2021-10-01,157.0,159.15,119.08,148.6,109.2
2021-11-01,157.0,178.64,137.32,160.88,120.69
2021-12-01,177.0,178.45,137.15,159.66,119.55
2022-01-01,177.0,164.38,123.97,148.41,109.01
2022-02-01,177.0,180.39,138.97,163.71,123.34
2022-03-01,254.0,199.33,156.7,177.69,136.44
2022-04-01,338.0,284.09,236.08,255.83,209.62
2022-05-01,420.0,331.19,280.19,289.49,241.14
2022-06-01,470.0,416.19,359.8,337.14,285.76
2022-07-01,450.0,439.18,381.32,354.06,301.61
2022-08-01,450.0,354.27,301.8,322.53,272.08
2022-09-01,450.0,325.74,275.09,303.19,231.15
2022-10-01,370.0,292.54,243.99,285.25,237.17
2022-11-01,370.0,287.58,239.35,291.22,242.76
2022-12-01,370.0,290.85,242.41,285.58,237.48
2023-01-01,370.0,296.05,223.87,285.88,214.35
2023-02-01,400.0,322.66,248.79,292.11,220.18
2023-03-01,340.0,324.24,250.26,289.77,217.98
2023-04-01,340.0,294.4,222.32,257.62,187.88
2023-05-01,333.0,292.17,220.23,262.66,192.6
2023-06-01,318.0,286.43,191.45,264.23,170.66
2023-07-01,348.0,286.11,191.15,256.38,163.31
2023-08-01,348.0,310.63,214.11,285.27,190.36
2023-09-01,361.0,331.9,234.03,292.65,197.27
2023-10-01,365.0,340.79,242.35,309.64,213.19
2023-11-01,356.0,315.2,218.39,304.51,208.38
2024-12-01,346.0,312.34,215.72,289.92,194.71
2024-01-01,366.0,340.76,205.09,314.88,183.13
2024-02-01,370.83,346.68,210.11,314.9,183.15
2024-03-01,371.0,352.48,215.02,315.68,183.81
2024-04-01,371.0,351.74,214.4,318.78,186.44
2024-05-01,368.0,357.64,219.4,325.0,191.72
2024-06-01,355.0,330.67,196.53,311.14,179.96
2024-07-01,344.0,327.33,193.69,313.67,182.11
2024-08-01,344.0,335.96,201.01,316.17,184.23
2024-09-01,332.0,315.01,183.24,301.35,171.66
2024-10-01,311.0,300.51,170.95,287.46,159.88
,,,,,
