Date ,diesel_price,formula_price_with_tax,formula_price_without_tax,brent_price_with_tax,brent_price_without_tax,,,,,,,,,,,,
2020-01-01,104.00,102.99,88.85,95.98,82.29,,,,,,,,,,,,
2020-02-01,104.00,110.07,95.48,96.04,82.36,,,,,,,,,,,,
2020-03-01,104.00,110.76,82.23,99.64,71.83,,,,,,,,,,,,
2020-04-01,104.00,117.65,58.60,104.96,46.73,,,,,,,,,,,,
2020-05-01,104.00,98.56,40.75,94.45,36.90,,,,,,,,,,,,
2020-06-01,104.00,71.62,44.55,71.39,44.33,,,,,,,,,,,,
2020-07-01,104.00,87.44,59.34,82.39,54.62,,,,,,,,,,,,
2020-08-01,104.00,92.99,64.54,85.71,57.73,,,,,,,,,,,,
2020-09-01,104.00,90.70,63.32,87.03,59.89,,,,,,,,,,,,
2020-10-01,104.00,83.82,56.89,82.62,55.77,,,,,,,,,,,,
2020-11-01,104.00,88.76,56.84,87.21,55.39,,,,,,,,,,,,
2020-12-01,104.00,92.81,60.63,90.00,57.99,,,,,,,,,,,,
2021-01-01,104.00,87.78,71.82,82.83,67.19,,,,,,,,,,,,
2021-02-01,104.00,101.07,78.64,96.68,74.53,,,,,,,,,,,,
2021-03-01,104.00,101.49,89.32,96.22,84.39,,,,,,,,,,,,
2021-04-01,104.00,107.74,95.17,103.92,91.59,,,,,,,,,,,,
2021-05-01,104.00,106.01,93.55,103.21,90.93,,,,,,,,,,,,
2021-06-01,111.00,113.76,100.80,108.76,96.12,,,,,,,,,,,,
2021-07-01,111.00,118.69,105.41,114.11,101.13,,,,,,,,,,,,
2021-08-01,111.00,120.93,107.51,116.04,102.93,,,,,,,,,,,,
2021-09-01,111.00,114.63,101.61,111.03,98.24,,,,,,,,,,,,
2021-10-01,111.00,125.65,111.92,119.60,106.26,,,,,,,,,,,,
2021-11-01,111.00,144.90,129.93,131.67,117.55,,,,,,,,,,,,
2021-12-01,121.00,145.48,130.47,130.47,116.43,,,,,,,,,,,,
2022-01-01,121.00,133.12,118.91,119.40,106.08,,,,,,,,,,,,
2022-02-01,121.00,151.99,136.56,134.44,120.15,,,,,,,,,,,,
2022-03-01,176.00,169.91,153.32,148.19,133.01,,,,,,,,,,,,
2022-04-01,289.00,265.67,242.90,224.74,204.61,,,,,,,,,,,,
2022-05-01,400.00,329.07,302.20,257.50,235.25,,,,,,,,,,,,
2022-06-01,460.00,389.14,358.39,304.13,278.87,,,,,,,,,,,,
2022-07-01,440.00,451.70,416.91,320.76,294.43,,,,,,,,,,,,
2022-08-01,430.00,374.23,344.44,289.77,265.43,,,,,,,,,,,,
2022-09-01,430.00,361.71,332.73,270.76,247.65,,,,,,,,,,,,
2022-10-01,415.00,333.56,306.40,253.11,231.15,,,,,,,,,,,,
2022-11-01,430.00,348.66,320.52,258.97,236.63,,,,,,,,,,,,
2022-12-01,420.00,326.70,299.98,253.43,231.45,,,,,,,,,,,,
2023-01-01,405.00,320.70,270.98,254.15,208.73,,,,,,,,,,,,
2023-02-01,405.00,324.65,274.68,260.28,214.47,,,,,,,,,,,,
2023-03-01,325.00,300.93,252.49,257.97,212.31,,,,,,,,,,,,
2023-04-01,325.00,266.02,219.84,226.54,182.91,,,,,,,,,,,,
2023-05-01,310.00,249.03,203.95,231.53,187.58,,,,,,,,,,,,
2023-06-01,310.00,247.18,178.83,233.56,166.09,,,,,,,,,,,,
2023-07-01,308.00,247.07,178.73,225.89,158.92,,,,,,,,,,,,
2023-08-01,306.00,281.53,210.96,254.19,185.39,,,,,,,,,,,,
2023-09-01,341.00,322.18,248.98,261.43,192.16,,,,,,,,,,,,
2023-10-01,351.00,335.67,261.60,278.14,207.79,,,,,,,,,,,,
2023-11-01,356.00,318.14,245.21,273.08,203.06,,,,,,,,,,,,
2023-12-01,329.00,300.53,228.73,258.72,189.62,,,,,,,,,,,,
2024-01-01,358.00,316.57,214.04,286.57,178.26,,,,,,,,,,,,
2024-02-01,362.83,317.26,214.63,286.62,178.30,,,,,,,,,,,,
2024-03-01,363.00,321.07,217.85,287.48,178.99,,,,,,,,,,,,
2024-04-01,363.00,311.27,209.57,290.76,181.61,,,,,,,,,,,,
2024-05-01,333.00,307.29,206.20,297.28,186.82,,,,,,,,,,,,
2024-06-01,317.00,290.06,191.63,282.84,175.28,,,,,,,,,,,,
2024-07-01,317.00,295.32,196.08,285.43,177.35,,,,,,,,,,,,
2024-08-01,317.00,298.05,198.38,288.05,179.44,,,,,,,,,,,,
2024-09-01,307.00,278.81,182.11,272.63,167.12,,,,,,,,,,,,
2024-10-01,283.00,260.82,166.89,258.15,155.55,,,,,,,,,,,,
2024-11-01,283.00,262.66,168.45,258.46,155.79,,,,,,,,,,,,
