Date,central_bank_total_assets ,currency_in_circulation,gov_deposits_with_cb ,srr_commercial_bank_deposits,reserve_money,narrow_money_m1,broad_money_m2,broad_money_m2b,quasi_money_public,net_foreign_assets,credit_to_government_net, credit_to_public_corporations,credit_to_private_sector,total_domestic_credit,broad_money_m4,net_credit_to_gov_central_bank,net_credit_to_gov_commercial_total,net_credit_to_gov_commercial_dbu,net_credit_to_gov_commercial_obu,credit_to_sobes_dbu,credit_to_sobes_obu,credit_to_private_dbu,credit_to_private_obu,m2b_other_items_net,nfa_monetary_authorities,nfa_commercial_banks_total,nfa_commercial_banks_dbu,nfa_commercial_banks_obu,reserve_money_yoy_pct,narrow_money_m1_yoy_pct,broad_money_m2_yoy_pct ,broad_money_m2b_yoy_pct,money_supply_foreign_assets_yoy_pct ,nfa_monetary_authorities_yoy_pct,nfa_commercial_banks_total_yoy_pct ,nfa_commercial_banks_dbu_yoy_pct,nfa_commercial_banks_obu_yoy_pct,net_domestic_assets_yoy_pct ,net_credit_to_gov_yoy_pct,net_credit_to_gov_cb_yoy_pct,net_credit_to_gov_commercial_total_yoy_pct,net_credit_to_gov_commercial_dbu_yoy_pct,net_credit_to_gov_commercial_obu_yoy_pct,credit_to_public_corporations_yoy_pct,credit_to_sobes_dbu_yoy_pct,credit_to_sobes_obu_yoy_pct,credit_to_private_sector_yoy_pct,credit_to_private_dbu_yoy_pct,credit_to_private_obu_yoy_pct,m2b_other_items_net_yoy_pct,
2009-01-01,"529,546.65","177,969.94",12.9,"85,786.75","263,769.59","265,614.68","1,288,163","1,528,254.10","1,262,639.42","47,362.25","636,953.73","53,744.65","1,252,951.69","1,943,650.07","1,930,444.48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-02-01,"573,752.49","179,937.99",13.41,"78,145.55","258,096.95","265,635.70","1,304,602","1,546,513.07","1,280,877.38","52,691.22","672,645.98","53,993.09","1,246,044.51","1,972,683.57","1,952,574.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-03-01,"562,520.16","192,707.88",13.02,"73,630.06","266,350.96","272,880.71","1,324,704","1,581,580.31","1,308,699.60","62,369.04","705,008.27","52,637.98","1,233,029.03","1,990,675.28","1,986,152.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-04-01,"561,365.34","191,341.90",12.87,"69,821.81","261,176.58","270,623.43","1,343,535","1,605,134.93","1,334,511.50","72,228.33","746,008.34","55,207.06","1,221,333.86","2,022,549.27","2,014,861.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-05-01,"563,118.12","189,939.25",13.11,"78,650.73","268,603.09","271,729.80","1,360,260","1,624,257.29","1,352,527.49","107,750.44","742,870.87","53,301.11","1,206,158.60","2,002,330.59","2,035,862.80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-01,"577,197.11","185,341.21",13.75,"77,205.99","262,560.94","268,942.57","1,380,978","1,645,776.35","1,376,833.78","123,919.34","772,742.59","46,162.96","1,194,026.71","2,012,932.26","2,065,273.76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-07-01,"616,551.29","187,713.60",18.36,"87,859.52","275,591.48","277,090.15","1,411,698","1,683,066.43","1,405,976.28","166,780.41","780,684.17","44,032.34","1,185,546.44","2,010,262.94","2,105,677.59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-08-01,"715,205.42","192,017.55",14.81,"84,564.47","276,596.83","285,505.06","1,435,550","1,702,948.43","1,417,443.37","274,186.39","712,337.72","36,132.06","1,175,514.85","1,923,984.64","2,132,913.29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-09-01,"747,979.31","192,070.85",14,"82,436.47","274,521.32","293,274.58","1,461,339","1,736,019.70","1,442,745.13","323,862.81","648,919.45","70,389.92","1,179,151.82","1,898,461.19","2,184,494.51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10-01,"814,505.96","197,216.70",16.62,"91,597.17","288,830.49","294,541.50","1,461,345","1,755,399.48","1,460,857.97","427,758.68","606,657.29","70,649.04","1,174,668.77","1,851,975.10","2,211,573.19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-11-01,"844,945.40","200,620.78",16.56,"87,526.63","288,163.97","313,531.40","1,497,004","1,770,460.23","1,456,928.83","413,824.71","605,326.90","73,447.24","1,185,649.65","1,864,423.79","2,237,941.30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
