Date,sl_agri_production_index,logistics_production_index,,,
1961-12-01,22.9,,,,
1962-12-01,24.08,,,,
1963-12-01,24.77,,,,
1964-12-01,25.84,,,,
1965-12-01,24.23,,,,
1966-12-01,24.78,,,,
1967-12-01,27.46,,,,
1968-12-01,28.37,,,,
1969-12-01,28.18,,,,
1970-12-01,29.59,,,,
1971-12-01,29.06,,,,
1972-12-01,28.51,,,,
1973-12-01,28.43,,,,
1974-12-01,30.88,,,,
1975-12-01,32.4,,,,
1976-12-01,32.49,,,,
1977-12-01,33.23,,,,
1978-12-01,35,,,,
1979-12-01,40.12,,,,
1980-12-01,42.18,,,,
1981-12-01,40.3,,,,
1982-12-01,38.08,,,,
1983-12-01,42.27,,,,
1984-12-01,40.19,,,,
1985-12-01,41.48,,,,
1986-12-01,42.24,,,,
1987-12-01,36.51,,,,
1988-12-01,39.08,,,,
1989-12-01,36.68,,,,
1990-12-01,39.95,,,,
1991-12-01,60.62,,,,
1992-12-01,52.99,,,,
1993-12-01,61.51,,,,
1994-12-01,65.08,,,,
1995-12-01,66.51,,,,
1996-12-01,63.49,,,,
1997-12-01,66.59,,,,
1998-12-01,68.51,,,,
1999-12-01,70.63,,,,
2000-12-01,73.46,,,,
2001-12-01,70.35,,,,
2002-12-01,72.74,,,,
2003-12-01,73.32,,,,
2004-12-01,71.87,,,,
2005-12-01,76.67,,,,
2006-12-01,77.44,,,,
2007-12-01,76.07,2.130,,,
2008-12-01,82.84,,,,
2009-12-01,78.53,,,,
2010-12-01,98.79,1.880,,,
2011-12-01,96.64,,,,
2012-12-01,98.01,2.500,,,
2013-12-01,103.56,,,,
2014-12-01,97.76,2.232,,,
2015-12-01,104.53,,,,
2016-12-01,97.71,,,,
2017-12-01,86.75,,,,
2018-12-01,94.14,2.490,,,
2019-12-01,95.85,,,,
2020-12-01,107.34,,,,
2021-12-01,117.02,,,,
2022-12-01,95.73,2.400,,,
,,,,,
