observation_date,annual_cpi_inflation_rate,policy_rate,GDP_growth_imports,consumerprice_inflation,budget_surplus,treasury_bonds,,
1998-01-01,9.574,12.000,10.469,9.573696264052,-62732.000,10000.000,,
1998-02-01,,12.000,,,,,,
1998-03-01,,11.700,,,,,,
1998-04-01,,11.650,,,,,,
1998-05-01,,12.150,,,,,,
1998-06-01,,12.100,,,,,,
1998-07-01,,12.100,,,,,,
1998-08-01,,12.100,,,,,,
1998-09-01,,12.000,,,,,,
1998-10-01,,11.750,,,,,,
1998-11-01,,11.750,,,,,,
1998-12-01,,11.250,,,,,,
1999-01-01,9.364,11.000,11.490,9.364243007000,-85947.000,48915.000,,
1999-02-01,,11.000,,,,,,
1999-03-01,,10.500,,,,,,
1999-04-01,,10.500,,,,,,
1999-05-01,,10.500,,,,,,
1999-06-01,,10.000,,,,,,
1999-07-01,,9.500,,,,,,
1999-08-01,,9.500,,,,,,
1999-09-01,,9.500,,,,,,
1999-10-01,,9.500,,,,,,
1999-11-01,,9.250,,,,,,
1999-12-01,,9.250,,,,,,
2000-01-01,4.692,13.300,7.007,4.691705630484,-76493.000,104867.000,,
2000-02-01,,13.300,,,,,,
2000-03-01,,13.300,,,,,,
2000-04-01,,13.000,,,,,,
2000-05-01,,14.000,,,,,,
2000-06-01,,9.500,,,,,,
2000-07-01,,9.500,,,,,,
2000-08-01,,11.750,,,,,,
2000-09-01,,13.000,,,,,,
2000-10-01,,13.000,,,,,,
2000-11-01,,17.000,,,,,,
2000-12-01,,17.000,,,,,,
2001-01-01,6.176,20.000,14.888,6.176275910120,-119395.000,104867.000,,
2001-02-01,,19.000,,,,,,
2001-03-01,,19.000,,,,,,
2001-04-01,,18.500,,,,,,
2001-05-01,,18.500,,,,,,
2001-06-01,,18.500,,,,,,
2001-07-01,,16.000,,,,,,
2001-08-01,,15.000,,,,,,
2001-09-01,,13.000,,,,,,
2001-10-01,,12.000,,,,,,
2001-11-01,,12.000,,,,,,
2001-12-01,,12.000,,,,,,
2002-01-01,14.158,12.000,-9.528,14.158455800000,-146722.000,229174.000,,
2002-02-01,,11.500,,,,,,
2002-03-01,,11.500,,,,,,
2002-04-01,,11.500,,,,,,
2002-05-01,,11.500,,,,,,
2002-06-01,,11.500,,,,,,
2002-07-01,,10.500,,,,,,
2002-08-01,,10.500,,,,,,
2002-09-01,,10.500,,,,,,
2002-10-01,,10.500,,,,,,
2002-11-01,,9.750,,,,,,
2002-12-01,,9.750,,,,,,
2003-01-01,9.551,9.000,11.217,9.551031670073,-134022.000,347128.000,,
2003-02-01,,9.000,,,,,,
2003-03-01,,9.000,,,,,,
2003-04-01,,9.000,,,,,,
2003-05-01,,8.250,,,,,,
2003-06-01,,8.250,,,,,,
2003-07-01,,8.250,,,,,,
2003-08-01,,7.500,,,,,,
