Region,Code,Location,Enterprise,Contact
WESTERN,100026,ALEXANDER PLACE,SISIRI ENTERPRISES,773416076
WESTERN,100108,ALUTHGAMA,BERUWALA MPCS,718260433
WESTERN,104837,AMBATHALE,K.D.M.M SIRIWARDHANA,
WESTERN,106112,ATHGAMA,P.M WIMALASIRI,773091499
WESTERN,100112,ATTIDIYA,C.K WAUASIWATHANA,718147306
WESTERN,102248,AWWISSAWELLA,ARSKAULARATHNA,777283495
WESTERN,100443,BANDARAGAMA,BANDARAGAMA MPCS,707127007
WESTERN,105052,BOKUNDARA,R.R SIRIWANSA,779297067
WESTERN,100627,BORELESGAMUWA,E.GUNASINGHE,
WESTERN,100528,BULATHSINHALA,BULATHSINHALA MPCS,761368746
WESTERN,103289,BULATHSINHALA,G.KULARATHNA,71805814
WESTERN,102284,DALUGAMA,S.A.A.N PERERA,71303577
WESTERN,100237,DANUGAMUWA,ALLIANCE ENT.,777281153
WESTERN,100410,DELGODA,DHAMMIKA ENTERPRISES,776154547
WESTERN,100036,DEMATAGODA,EHELIYAGODA ASSO:,710681867
WESTERN,101180,ETHULKOTTE,SRI JPURA MPCS,755440525
WESTERN,100209,F/R,NIROSHANA ENT:,718323684
WESTERN,100546,GAMPAHA,GAMPAHA MPCS,335671437
WESTERN,105556,GANEMULLA,DISSANAYAKE,777698212
WESTERN,100519,GIRIDARA,HEMANTHI PERERA,764111022
WESTERN,105100,HAVELOCK RD,LAUGHS PETROLEUM,772289402
WESTERN,100564,HOMAGAMA,D & S ENT,777746170
WESTERN,100164,HORANA,H.D.C HOLDINGS,776763197
WESTERN,100685,INGRIIYA,H.D BUDDHIPALA,342628245
WESTERN,100054,JAELA,JAELA MPCS,798021800
WESTERN,100237,JAELA,ALLIANCE ENT.,713307719
WESTERN,100467,JETHAWANA RD,A.H WIMALATHUNGA,716877881
WESTERN,100283,KADAWATHA,DEWTHURU ENTERPRISES,777376099
WESTERN,100011,KADUWELA,HEWAGAMKORALE MPCS,718236474
WESTERN,100091,KALUTARA,SAGANA ENTERPRISES,719074623
WESTERN,100171,KALUTARA,L.L KULATHUNGA,713209102
WESTERN,100515,KANDANA,KANDANA MPCS,771805054
WESTERN,100493,KATUNAYAKE,AIRPORT & AVIATION,70379722
WESTERN,105864,KELANIYA,UIPUI MUDALIAGE,775295503
WESTERN,100392,KELANIYA,K.K.J.R KURUPPU,777106330
WESTERN,100032,KIRIBATHGODA,L.W CABRAAL,776573608
WESTERN,100346,KIRINDIWELA,KIRINDIWELA MPCS,332269089
WESTERN,100061,KOHUWALA,LAUGHS PETROLEUM,777449848
WESTERN,100496,KOTADENIYAWA,KOTADENIYAWA MPCS,718427900
WESTERN,100482,KOTAKAWATTA,S.A.P PERERA,771711870
WESTERN,104171,KOTHALAWALA,SHAKTHI LANKA,
WESTERN,104528,MADIWELA,NANDANA GAMAGE,77771021
WESTERN,100105,MAGGONA,BERUWALA MPCS,771712749
WESTERN,100042,MARADAGAHAMULA,PRODUCERS & MANUFAC,765948571
WESTERN,100087,MARADANA,SENARATHNA,773874767
WESTERN,100365,MATHUGAMA,MATHUGAMA MPCS,710469646
WESTERN,105743,MAWARAMANDIYA,T.S CHAINS,776219613
WESTERN,100059,MINUWANGODA,MINUWANGODA MPCS,777890306
WESTERN,100419,MIRIGAMA,MIRIGAMA MPCS,766297816
WESTERN,100304,MIRIGAMA,SRI JPURA MPCS,779038634
WESTERN,100439,MIRIGAMA,K.P PADUWANWALA,777573368
WESTERN,100081,MORATUWA,MORATUWA MPCS,777190116
WESTERN,100057,MORATUWA,Q & R ENTERPRISES,777148640
WESTERN,103518,MUDUNGODA,B.M MAPA,778390504
WESTERN,100607,NAWAGAMUWA,TRANSLANKA,77223107
WESTERN,100117,NEGOMBO,NEGOMBO MPCS,779079034
WESTERN,100000,NEGOMBO,S.L AIRFORCE,715898151
WESTERN,100034,NUGEGODA,WICKRAMASIRI ENT:,770446929
WESTERN,100739,PANADURA,H.D PEIRIS,777786789
WESTERN,100116,PANNIPITIYA,YASARATHNA,771429976
WESTERN,100473,PELIYAGODA,M.I.M SHERIFF,711839778
WESTERN,100504,PILIYANDALA,PILIYANDALA MPCS,713496061
WESTERN,103752,POLGASOWITA,WICKRAMASEKARA HOLDINGS,770352583
WESTERN,100406,PUGODA,DOMPE PUGODA MPCS,710115393
WESTERN,100524,RAGAMA,RAGAMA MPCS,716671204
WESTERN,100521,RATMALANA,R.L FERNANDO,773472182
WESTERN,100522,TAHAHIRYA,S.A SIRIRWARDHANA,776951319
WESTERN,100526,UNION PLACE,MARKFED,718275086
WESTERN,100574,VEYANGODA,VEYANGODA MPCS,733270579
WESTERN,100104,WELIKADA,K.D.U.S PERERA,768427572
WESTERN,101493,WELISARA,NAVY CAMP,112954925
WESTERN,105227,WELIWERIYA,J.A.I JAYASINGHE,777476818
WESTERN,100580,WELLAWATTA,CO-SOUTH CO:,767273765
WESTERN,100477,YAKKALA,SENNAYAKE,777755564



